,ONSConstID,cluster_demo
501,E14000931,2
502,E14000850,2
503,E14000846,3
504,E14000932,3
505,E14000939,3
506,E14000943,3
507,E14000944,1
508,E14000955,0
509,E14000956,0
510,E14000957,3
511,E14000958,3
512,E14000959,3
513,E14000965,3
514,E14000966,3
515,E14000945,3
516,E14000967,1
517,E14000968,0
518,S14000057,2
519,E14000969,0
520,E14000970,1
521,E14000971,3
522,E14000972,1
523,E14000973,1
524,E14000974,1
525,E14000975,2
526,E14000976,3
527,E14000977,2
528,E14000978,4
529,E14000979,3
530,E14000980,2
531,E14000624,3
532,E14000981,3
533,E14000946,3
534,E14001034,1
535,E14000982,1
536,E14000681,2
537,E14000983,2
538,E14000953,2
539,E14000817,2
540,E14000984,2
541,E14000985,2
542,W07000048,1
543,W07000047,0
544,E14000851,3
545,E14000947,0
546,E14000986,3
547,E14000987,2
548,E14000988,3
549,E14000989,1
550,E14000990,2
551,E14000852,3
552,E14000948,3
553,E14000993,3
554,E14000994,2
555,E14000995,1
556,E14000996,3
557,E14000997,2
558,E14000998,4
559,E14000999,3
560,W07000053,1
561,E14001001,3
562,E14001002,4
563,E14001003,2
564,E14001004,2
565,E14001005,2
566,E14001006,2
567,E14000853,1
568,E14001007,0
569,W07000060,3
570,W07000078,3
571,E14001008,4
572,E14001009,1
573,E14001010,1
574,E14001011,1
575,E14001012,1
576,E14001013,0
577,E14001014,1
578,E14001015,2
579,E14001016,1
580,E14001017,3
581,E14001018,2
582,E14001019,0
583,E14000854,3
584,E14001020,1
585,E14001021,2
586,E14001022,3
587,E14001023,2
588,E14001024,3
589,E14001025,1
590,E14001026,3
591,E14001027,0
592,E14001028,1
593,E14001029,1
594,E14001030,1
595,E14001032,4
596,E14001036,4
597,E14001037,2
598,E14001038,3
599,E14001039,1
600,E14000860,2
601,E14000954,3
602,E14001040,2
603,E14001041,2
604,E14001042,2
605,E14001043,2
606,E14001044,2
607,E14001045,3
608,E14001046,2
609,E14001047,2
610,E14001048,2
611,E14001049,1
612,E14001050,1
613,E14001051,3
614,E14001052,0
615,E14000818,3
616,E14001035,2
617,E14001053,3
618,E14001054,1
619,E14000682,3
620,E14001055,3
621,E14000992,3
622,W07000044,1
623,E14001056,2
624,E14001057,2
625,E14001058,3
626,E14001059,0
627,E14001060,3
628,W07000041,3
629,E14001061,0
630,E14001062,2
631,E14000683,3
