,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00115618,82,12,41,4,3,4,9,4,4,-,1,1,-,-,-
S00115619,61,11,20,1,3,2,10,2,-,12,-,2,1,-,-
S00115620,47,9,18,-,4,2,10,1,3,-,-,1,-,-,1
S00115621,97,17,45,8,5,6,7,1,4,4,-,1,-,-,2
S00115622,78,9,24,2,2,6,14,4,11,3,3,-,-,1,-
S00115623,83,9,24,1,9,-,17,7,2,9,5,2,1,2,2
S00115624,80,10,27,3,8,5,6,5,6,8,2,5,1,5,1
S00115625,120,14,51,-,9,4,19,4,6,12,1,4,1,2,4
S00115626,96,16,28,3,1,4,19,4,5,11,5,1,-,1,-
S00115627,96,17,34,2,11,1,13,4,6,7,1,6,-,1,4
S00115628,92,10,56,2,4,1,6,4,5,4,-,-,3,-,1
S00115629,71,7,32,4,1,3,5,8,3,5,3,-,-,-,1
S00115630,93,13,22,2,12,2,19,2,3,14,4,5,3,4,4
S00115631,144,15,65,6,8,9,17,5,4,14,1,3,1,2,-
S00115632,93,17,26,4,12,2,8,7,7,8,2,8,2,3,2
S00115633,74,7,39,2,6,-,8,4,4,3,1,2,-,-,2
S00115634,101,11,48,1,6,2,21,1,1,10,-,2,1,-,1
S00115635,95,12,31,3,8,5,9,6,8,10,3,4,-,4,2
S00115636,67,4,23,3,4,3,17,1,5,7,-,1,1,-,-
S00115637,63,8,14,1,3,3,18,1,3,10,2,-,1,1,2
S00115638,91,12,38,1,4,1,9,2,7,10,7,-,1,-,3
S00115639,111,20,64,4,5,6,6,3,1,1,1,-,2,-,2
S00115640,111,13,78,4,7,3,1,1,2,1,1,1,1,2,3
S00115641,76,11,30,4,6,2,4,4,5,8,2,-,2,-,2
S00115642,101,12,26,4,16,2,12,6,4,17,2,7,3,3,3
S00115643,89,10,28,2,6,3,24,3,4,7,2,2,3,1,4
S00115644,90,9,17,1,7,1,21,9,8,15,2,1,-,-,4
S00115645,48,3,15,3,9,3,3,3,4,5,-,1,4,-,2
S00115646,77,9,37,2,6,2,14,1,2,4,-,2,2,1,4
S00115647,70,7,16,1,6,2,16,1,8,10,3,3,-,2,1
S00115648,81,14,24,3,6,7,7,5,6,6,3,2,-,1,4
S00115649,75,16,26,3,7,3,7,6,4,1,2,4,1,2,-
S00115650,40,2,16,2,3,-,8,1,2,3,3,-,1,1,1
S00115651,93,5,26,1,5,5,13,7,8,21,2,-,1,-,3
S00115652,56,6,11,1,7,2,8,3,2,11,5,1,-,-,4
S00115653,84,13,23,2,10,10,2,8,5,3,8,1,2,-,8
S00115654,58,10,14,3,4,3,11,7,2,3,1,1,1,-,-
S00115655,96,13,24,4,8,1,22,3,5,14,2,3,-,1,3
S00115656,85,11,20,2,11,1,7,3,11,13,6,4,1,3,5
S00115657,105,19,29,-,11,3,21,5,4,9,4,7,1,2,3
S00115658,114,16,31,4,14,7,13,3,9,12,5,5,1,3,6
S00115659,66,13,17,-,8,2,4,1,6,10,5,4,-,-,5
S00115660,98,10,20,2,16,2,5,14,10,14,5,9,1,6,6
S00115661,86,7,39,2,7,1,23,3,-,2,2,5,-,1,2
S00115662,94,10,25,1,9,5,16,9,3,9,7,1,2,1,6
S00115663,72,12,24,1,2,1,8,12,3,5,4,1,-,-,-
S00115664,101,18,20,3,9,8,16,12,3,9,3,2,2,2,5
S00115665,129,15,26,7,6,7,22,28,6,11,1,1,3,1,2
S00115666,80,8,44,2,3,-,8,9,4,2,-,1,1,1,-
S00115667,59,6,28,1,1,3,9,1,1,9,-,1,-,1,-
S00115668,29,-,1,-,1,-,21,-,-,5,1,1,-,1,-
S00115669,74,8,32,3,5,3,6,9,1,6,1,-,2,1,1
S00115670,101,12,21,2,18,4,4,3,17,14,6,6,1,4,11
S00115671,104,13,37,6,10,-,18,3,5,12,-,4,2,1,6
S00115672,154,27,48,1,14,7,11,11,14,14,7,5,3,3,4
S00115673,124,12,30,9,10,4,23,7,11,14,4,2,2,4,4
S00115674,113,13,29,1,17,4,4,14,12,17,2,8,-,4,9
S00115675,50,4,26,4,2,5,2,2,3,1,1,1,-,-,1
S00115676,91,14,56,3,-,5,3,6,2,1,1,-,-,-,-
S00115677,103,14,63,4,3,3,4,2,4,5,1,-,1,-,2
S00115678,89,15,26,6,4,2,18,4,5,9,-,3,-,2,2
S00115679,137,19,55,3,7,2,16,10,12,10,3,1,1,-,4
S00115680,84,15,23,1,2,2,22,3,3,8,5,-,-,-,1
S00115681,113,21,53,10,5,5,5,3,2,9,-,2,2,1,2
S00115682,122,19,41,5,14,7,14,7,7,7,1,3,5,2,6
S00115683,116,15,50,5,9,5,9,7,2,10,4,3,2,2,6
S00115684,94,26,27,1,5,3,5,10,8,3,6,1,1,2,1
S00115685,68,11,21,1,8,2,11,1,5,6,2,4,1,1,4
S00115686,125,26,33,2,13,4,12,4,15,13,3,2,2,2,8
S00115687,86,15,27,2,14,2,12,3,4,5,2,3,-,2,4
S00115688,64,11,13,1,7,1,3,8,9,7,4,4,1,2,4
S00115689,101,15,31,2,6,1,25,6,7,8,-,1,-,3,2
S00115690,77,14,16,1,8,5,8,5,8,9,3,2,4,-,8
S00115691,69,11,16,1,-,1,16,4,2,13,5,-,-,-,-
S00115692,158,29,56,3,19,2,10,5,7,17,10,8,4,3,8
S00115693,121,20,37,3,10,3,18,5,11,12,2,3,1,1,5
S00115694,97,12,31,2,13,7,15,6,6,4,1,7,1,4,3
S00115695,86,14,26,3,6,4,6,4,3,16,4,1,1,1,4
