,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00090813,47,8,18,3,4,4,8,-,1,1,-,1,1,1,2
S00090814,69,13,24,5,2,1,17,2,1,1,3,1,-,-,-
S00090815,17,3,4,1,-,-,8,-,-,1,-,-,-,-,-
S00090816,196,32,88,18,3,9,25,12,6,1,2,2,-,1,-
S00090817,83,13,32,6,-,4,23,2,-,3,-,-,-,-,-
S00090818,99,15,49,11,2,3,12,3,-,2,2,-,-,-,-
S00090819,69,8,30,5,2,3,16,-,4,1,-,1,1,-,-
S00090820,138,24,75,4,2,11,13,4,5,-,-,1,1,-,-
S00090821,128,25,61,10,-,9,8,9,6,-,-,-,-,-,-
S00090822,94,14,47,5,2,6,10,8,2,-,-,-,1,-,-
S00090823,122,24,63,10,-,10,6,5,4,-,-,-,-,-,-
S00090824,107,16,63,4,-,5,2,6,7,3,1,-,-,-,-
S00090825,193,34,95,14,2,9,10,14,10,2,3,-,1,-,1
S00090826,65,7,39,1,-,2,9,2,1,3,1,-,-,-,-
S00090827,101,17,42,7,5,2,22,2,2,2,-,1,1,-,2
S00090828,69,10,42,5,4,1,2,1,3,-,1,1,2,-,-
S00090829,108,19,58,7,-,4,7,5,6,2,-,-,-,-,-
S00090830,70,9,45,1,2,2,5,3,-,2,1,1,-,-,-
S00090831,96,16,50,4,2,2,16,1,3,2,-,1,1,1,1
S00090832,36,4,16,-,1,-,6,1,2,6,-,1,-,-,-
S00090833,56,10,28,2,4,2,4,2,3,-,1,-,1,-,4
S00090834,60,6,45,1,3,-,3,1,-,1,-,-,1,-,1
S00090835,93,9,68,6,-,3,1,4,1,1,-,-,-,-,-
S00090836,57,2,36,9,1,2,4,-,1,-,2,1,-,-,-
S00090837,110,16,72,3,3,5,-,2,5,3,1,1,-,1,1
S00090838,88,6,55,11,4,3,7,1,1,-,-,1,2,-,3
S00090839,69,7,48,2,1,-,3,4,4,-,-,-,-,-,-
S00090840,146,15,74,16,1,6,15,8,5,1,5,-,-,-,1
S00090841,91,13,33,11,1,-,26,3,4,-,-,1,-,-,-
S00090842,39,9,14,1,-,5,8,1,1,-,-,-,-,-,-
S00090843,119,19,68,5,3,7,14,-,3,-,-,-,-,-,-
S00090844,113,12,52,7,1,-,10,6,1,24,-,-,-,-,1
S00090845,108,16,56,11,1,3,6,8,5,-,2,-,-,-,1
S00090846,136,17,83,15,1,3,7,5,5,-,-,-,-,-,-
S00090847,89,16,46,6,2,5,7,1,4,1,1,-,-,2,-
S00090848,100,19,55,5,2,5,6,2,6,-,-,-,1,1,1
S00090849,117,20,63,9,4,9,2,5,3,2,-,2,2,1,1
S00090850,94,10,51,12,3,2,9,2,1,2,2,2,-,-,1
S00090851,109,17,56,11,-,1,12,6,3,2,1,-,-,-,-
S00090852,94,9,61,7,-,7,4,2,1,2,1,-,-,-,-
S00090853,91,22,38,6,2,2,15,2,2,-,2,1,1,-,-
S00090854,88,11,45,6,4,5,9,-,3,3,2,1,2,-,2
S00090855,170,24,116,6,4,6,6,1,4,1,2,-,1,-,2
S00090856,105,14,47,6,2,4,22,1,4,4,1,-,1,1,1
S00090857,63,11,25,4,3,1,10,2,4,2,1,1,2,1,2
S00090858,89,8,61,9,-,-,3,2,2,2,2,-,-,-,-
S00090859,103,11,59,11,1,2,9,4,3,2,1,-,-,-,-
S00090860,46,6,33,1,-,2,3,-,-,1,-,-,-,-,-
S00090861,49,12,27,4,1,1,3,-,1,-,-,1,-,-,-
S00090862,113,17,71,8,-,3,6,3,-,4,1,-,-,-,-
S00090863,119,13,82,7,1,-,6,-,5,1,4,1,-,-,-
S00090864,96,19,51,9,5,3,1,2,4,2,-,3,1,1,2
S00090865,102,15,65,5,2,2,2,3,3,4,1,2,-,-,-
S00090866,149,25,84,8,5,10,13,1,3,-,-,1,2,1,3
S00090867,108,12,76,5,3,2,5,4,-,1,-,2,1,2,1
S00090868,65,10,45,6,2,1,-,-,-,-,1,-,-,-,1
S00090869,95,21,43,8,-,4,10,5,4,-,-,-,-,-,-
S00090870,98,14,46,9,1,2,17,5,2,2,-,-,1,-,-
S00090871,88,15,44,11,2,1,11,2,2,-,-,1,1,-,-
S00090872,45,10,26,1,1,2,3,1,-,-,1,-,-,-,-
S00090873,80,10,49,3,-,4,2,3,7,1,1,-,-,-,-
S00090874,65,13,30,4,1,3,12,1,1,-,-,-,1,-,-
S00090875,68,8,53,4,-,-,1,1,-,1,-,-,-,-,-
S00090876,167,25,100,11,3,5,7,5,5,1,5,1,-,-,2
S00090877,72,9,31,2,6,2,8,2,-,11,1,2,-,1,5
S00090878,92,12,41,1,8,1,19,2,3,4,1,4,-,-,2
S00090879,73,9,32,-,-,-,22,4,4,1,1,-,-,-,-
S00090880,70,7,42,2,2,2,9,1,3,1,1,-,-,-,1
S00090881,52,10,26,4,1,-,6,2,1,2,-,-,-,-,-
S00090882,109,20,58,1,4,2,12,1,3,8,-,2,-,-,1
S00090883,142,15,90,4,1,2,16,-,5,8,1,-,-,-,-
S00090884,137,22,61,9,5,3,26,5,1,5,-,2,-,-,1
S00090885,84,18,37,1,-,2,18,3,1,1,3,-,-,-,-
S00090886,151,21,54,7,4,-,33,22,3,7,-,-,1,-,-
S00090887,101,10,49,9,7,5,14,3,1,2,1,2,1,-,2
S00090888,72,13,31,4,3,-,10,3,1,6,1,2,-,-,-
S00090889,111,11,55,8,2,6,19,2,7,-,1,1,-,-,1
S00090890,83,19,26,10,-,2,9,6,9,-,2,-,-,-,-
S00090891,130,19,58,11,-,3,30,2,3,4,-,-,-,-,-
S00090892,52,9,18,2,3,-,11,1,2,5,1,-,3,-,1
S00090893,72,12,24,5,4,3,16,1,3,1,3,4,-,1,-
S00090894,94,10,37,9,3,5,12,6,4,8,-,2,-,-,3
S00090895,65,9,29,3,3,4,14,1,1,1,-,-,1,-,1
S00090896,114,20,50,5,3,10,11,4,9,-,2,1,1,1,1
S00090897,53,5,18,7,1,2,18,1,1,-,-,-,1,1,-
S00090898,64,4,37,7,1,2,-,5,7,1,-,-,-,-,-
S00090899,134,17,64,9,3,3,15,16,4,1,2,1,2,-,1
S00090900,103,18,44,8,2,5,14,3,7,-,2,2,-,-,-
S00090901,74,5,43,3,-,8,2,9,2,2,-,-,-,-,-
S00090902,66,3,39,-,2,15,-,6,-,-,1,-,-,-,2
S00090903,44,5,23,5,1,4,2,4,-,-,-,-,-,-,1
S00090904,181,9,124,15,4,7,7,5,7,1,2,2,-,-,2
S00090905,73,10,38,7,-,1,14,1,1,1,-,-,-,-,-
S00090906,71,10,33,-,-,6,17,1,4,-,-,-,-,-,-
S00090907,54,6,31,3,2,3,5,2,2,-,-,-,2,-,-
S00090908,88,9,65,5,1,2,3,2,-,1,-,-,1,-,1
S00090909,117,21,58,9,2,2,18,3,-,4,-,-,2,-,-
S00090910,110,21,63,6,-,8,3,2,4,3,-,-,-,-,-
S00090911,92,12,55,7,5,2,1,3,3,1,3,2,1,2,1
S00090912,92,15,58,7,2,7,-,2,1,-,-,2,-,1,-
S00090913,68,12,28,7,2,5,7,2,3,1,1,-,-,-,1
S00090914,141,31,78,9,3,8,1,4,4,2,1,2,-,1,-
S00090915,89,14,56,4,-,5,4,-,5,1,-,-,-,-,-
S00090916,148,22,64,15,-,7,21,6,9,1,3,-,-,-,-
S00090917,77,15,30,9,-,8,4,4,4,2,1,-,-,-,-
S00090918,63,4,39,7,1,5,1,1,2,-,3,-,1,-,1
S00090919,105,7,64,13,2,2,12,3,2,-,-,-,-,-,-
S00090920,77,9,43,4,-,1,8,4,6,1,1,-,-,-,-
S00090921,100,9,74,5,2,1,4,-,1,1,3,-,1,-,-
S00090922,86,10,45,10,1,-,13,2,4,1,-,1,-,-,-
S00090923,87,9,36,5,-,4,23,3,7,-,-,-,-,-,-
S00090924,161,23,78,26,-,7,3,7,13,1,3,-,-,-,-
S00090925,99,8,43,12,1,2,3,1,5,24,-,-,-,-,-
S00090926,67,13,20,9,1,4,14,2,4,-,-,-,-,-,1
S00090927,74,11,50,3,1,-,6,-,3,-,-,-,1,-,-
S00090928,94,17,43,11,1,2,6,5,8,1,-,-,1,-,-
S00090929,117,16,45,12,2,6,13,6,13,-,4,-,-,-,-
S00090930,100,19,45,10,6,7,5,-,5,2,1,4,1,1,4
S00090931,145,24,80,13,2,3,8,4,8,-,3,1,-,1,-
S00090932,74,11,43,10,1,2,6,-,1,-,-,-,-,-,1
S00090933,107,23,57,12,2,3,2,1,4,2,1,-,-,-,1
S00090934,121,21,72,10,3,2,2,2,7,1,1,1,1,-,2
S00090935,93,12,66,6,2,-,1,2,4,-,-,1,-,1,-
S00090936,101,15,58,5,1,3,13,1,3,1,1,-,-,-,-
S00090937,122,17,69,13,3,5,5,8,1,1,-,1,1,1,1
S00090938,105,15,40,18,4,3,14,1,9,1,-,4,-,1,1
S00090939,77,11,35,8,2,1,8,2,8,1,1,-,-,-,1
S00090940,60,8,27,5,3,6,2,4,2,2,1,1,-,-,2
S00090941,109,16,54,7,2,4,4,9,13,-,-,2,-,1,1
S00090942,99,18,50,8,5,1,3,4,8,2,-,1,-,1,2
S00090943,93,19,32,5,-,7,17,2,6,4,1,-,-,-,-
S00090944,68,8,38,4,2,2,11,-,3,-,-,1,-,1,1
S00090945,66,10,25,7,2,-,10,6,4,1,1,-,1,-,-
S00090946,105,15,51,8,2,7,7,3,8,2,2,1,-,-,1
S00090947,61,9,29,4,2,4,9,3,1,-,-,1,1,-,-
S00090948,64,14,37,3,2,-,-,2,5,-,1,1,-,-,1
S00090949,88,16,31,11,3,2,10,5,7,2,1,-,-,1,1
S00090950,118,16,29,29,2,4,23,6,7,-,2,1,1,-,-
S00090951,111,14,31,30,7,2,13,2,5,7,-,2,1,1,1
S00090952,104,18,26,18,-,2,24,4,3,5,4,-,-,-,-
S00090953,133,18,41,31,2,4,23,5,4,5,-,1,1,1,1
S00090954,106,13,42,16,2,2,20,3,3,5,-,-,2,-,-
S00090955,105,17,28,24,5,-,18,5,1,5,2,1,1,-,2
S00090956,64,13,18,14,4,-,12,-,2,-,1,1,-,2,1
S00090957,80,7,28,23,1,2,9,2,4,3,1,-,-,-,-
S00090958,125,24,47,26,-,3,12,6,1,2,4,-,-,-,-
S00090959,122,19,51,18,2,3,14,5,5,5,-,-,-,-,-
S00090960,87,8,45,19,3,-,4,-,4,3,1,-,1,-,1
S00090961,65,9,32,12,-,1,5,-,1,2,3,-,-,-,-
S00090962,135,21,40,33,4,1,21,1,9,2,3,2,1,1,-
S00090963,91,17,23,18,5,3,17,2,4,1,1,3,1,1,1
S00090964,70,9,19,26,-,-,10,2,3,-,1,-,-,-,-
S00090965,132,19,64,8,3,1,26,4,6,1,-,2,1,2,1
S00090966,49,6,24,2,-,3,6,2,4,2,-,-,-,-,-
S00090967,62,9,21,11,-,-,18,-,2,-,1,-,-,-,-
S00090968,74,9,18,24,1,1,11,4,4,1,1,-,1,-,-
S00090969,98,13,26,20,6,2,16,4,5,3,3,1,1,-,2
S00090970,119,22,42,15,1,-,11,9,7,9,3,-,1,-,-
S00090971,99,17,53,7,1,1,11,3,2,4,-,1,-,1,-
S00090972,52,3,30,4,-,-,6,1,3,5,-,-,-,-,-
S00090973,70,7,28,4,1,1,19,5,3,1,1,-,-,-,-
S00090974,79,9,32,14,2,2,12,1,2,3,2,-,-,-,2
S00090975,141,23,51,21,2,6,20,3,2,9,4,1,1,1,1
S00090976,79,10,25,19,3,4,7,2,3,6,-,1,2,1,-
S00090977,137,17,64,26,3,2,15,5,-,3,2,1,1,1,2
S00090978,141,19,53,12,8,7,19,7,10,4,2,2,1,2,1
S00090979,142,16,59,20,3,2,27,7,2,3,3,2,-,-,-
S00090980,164,20,55,15,2,8,34,6,8,12,4,1,-,-,1
S00090981,63,16,25,10,-,2,5,3,1,1,-,-,-,-,-
S00090982,108,16,43,18,2,4,15,1,5,2,2,1,1,-,-
S00090983,87,13,38,15,2,2,15,-,2,-,-,-,2,-,1
S00090984,139,28,55,22,2,6,2,8,15,1,-,-,-,-,-
S00090985,93,8,26,33,-,1,17,1,5,1,1,-,-,-,-
S00090986,46,4,16,3,2,1,9,3,2,6,-,-,-,-,1
S00090987,71,7,25,10,2,1,14,5,2,4,1,1,-,-,1
S00090988,138,28,59,19,3,7,3,6,11,-,2,-,2,-,1
S00090989,129,23,42,12,4,3,17,8,11,3,6,2,-,-,-
S00090990,51,6,15,11,2,3,5,2,6,1,-,1,1,1,-
S00090991,141,14,51,23,-,4,26,1,9,8,5,-,-,-,-
S00090992,130,19,47,21,2,2,16,8,9,5,1,-,1,-,1
S00090993,107,16,29,19,3,1,21,3,6,7,2,-,-,-,1
S00090994,129,17,42,23,-,4,25,4,8,4,2,-,-,-,-
S00090995,111,15,39,24,2,3,17,1,9,1,-,-,1,-,2
S00090996,151,24,59,29,3,3,13,4,9,3,4,-,2,-,-
S00090997,153,26,66,20,5,3,20,5,6,2,-,1,2,1,3
S00090998,72,10,31,8,1,-,11,6,4,1,-,-,-,-,-
S00090999,147,21,75,18,2,3,14,3,8,1,2,1,-,-,-
S00091000,157,17,58,29,1,1,31,7,3,5,5,1,-,-,1
S00091001,104,28,29,4,3,6,2,6,11,13,2,1,-,-,2
S00091002,125,16,66,1,6,5,1,4,18,4,4,1,1,-,1
S00091003,133,26,64,21,1,6,7,3,3,2,-,1,-,-,1
S00091004,113,23,53,10,4,5,6,2,6,3,1,2,1,1,-
S00091005,134,20,69,10,4,6,-,7,13,5,-,3,1,-,3
S00091006,100,21,38,1,9,8,4,11,3,5,-,6,-,1,3
S00091007,115,20,52,18,1,4,5,2,11,1,1,-,-,-,1
S00091008,49,2,17,9,1,2,13,1,3,-,1,-,-,-,1
S00091009,91,9,33,11,1,3,13,1,5,11,4,-,1,-,-
S00091010,72,9,29,9,-,1,13,1,4,5,1,-,-,-,-
S00091011,75,12,26,12,-,2,10,5,4,4,-,-,-,-,-
S00091012,57,8,22,9,-,-,11,2,3,2,-,-,-,-,-
S00091013,86,10,39,14,1,1,12,3,1,2,3,-,-,-,-
S00091014,79,11,36,8,3,2,10,2,4,3,-,-,3,-,2
S00091015,100,17,35,23,3,4,6,1,7,2,2,1,2,1,-
S00091016,61,11,26,10,1,-,7,2,1,-,3,-,1,-,1
S00091017,86,8,34,10,2,3,7,6,11,2,3,-,1,-,-
S00091018,63,11,24,10,1,1,9,5,2,-,-,-,1,-,1
S00091019,76,13,36,14,-,-,5,2,5,1,-,-,-,-,-
S00091020,88,15,55,7,-,2,3,-,3,1,2,-,-,-,-
S00091021,79,14,48,5,1,1,4,-,4,1,1,1,-,1,-
S00091022,42,4,18,6,-,2,3,3,3,1,2,-,-,-,-
S00091023,69,9,22,9,2,2,19,2,2,2,-,-,2,-,1
S00091024,140,18,54,29,3,-,18,8,5,3,2,3,-,1,1
S00091025,58,7,15,10,1,3,10,6,2,4,-,1,-,1,-
S00091026,105,10,48,20,1,4,10,6,2,3,1,-,-,-,1
S00091027,111,11,45,23,8,1,11,5,6,1,-,2,4,-,1
S00091028,135,16,55,21,4,4,22,3,8,1,1,-,1,-,3
S00091029,94,11,38,18,2,4,15,1,3,2,-,1,1,-,-
S00091030,85,7,34,14,1,3,12,6,4,1,3,1,-,-,-
S00091031,94,12,36,25,1,4,6,3,5,2,-,1,-,-,-
S00091032,139,15,55,29,3,4,13,3,5,8,4,-,2,-,-
S00091033,88,19,38,8,4,3,11,2,1,2,-,-,1,-,2
S00091034,73,8,28,13,-,1,12,3,7,1,-,-,-,-,-
S00091035,49,7,30,7,-,1,1,-,-,2,1,-,-,-,-
S00091036,93,12,34,13,3,4,15,4,3,3,2,1,-,1,-
S00091037,127,22,45,26,2,1,17,3,3,4,4,-,1,-,-
S00091038,108,13,47,15,3,3,15,3,4,2,3,-,-,-,-
S00091039,147,21,64,15,2,1,23,7,9,3,2,-,-,-,1
S00091040,142,21,55,21,5,2,10,5,10,10,3,2,-,1,-
S00091041,94,14,34,16,1,3,13,4,6,3,-,-,1,-,-
S00091042,78,7,29,13,1,2,14,2,3,6,1,-,-,-,1
S00091043,122,20,58,20,2,3,9,3,5,2,-,-,1,-,1
S00091044,93,13,42,15,4,4,6,2,5,1,1,2,2,1,-
S00091045,146,23,62,28,1,2,16,5,5,4,-,-,1,-,-
S00091046,107,8,46,21,5,2,12,5,3,5,-,1,3,-,3
S00091047,123,25,52,20,4,2,11,-,4,4,1,1,2,-,2
S00091048,66,8,45,3,-,-,1,3,3,1,2,-,-,-,-
S00091049,117,13,45,17,2,8,17,4,7,1,3,-,-,-,-
S00091050,106,17,42,16,1,3,16,4,4,1,2,-,-,-,-
S00091051,55,7,23,10,-,-,6,4,3,1,1,-,-,-,-
S00091052,102,12,46,23,-,1,7,3,4,4,2,-,-,-,-
S00091053,105,13,34,22,2,-,12,6,7,7,2,-,1,-,-
S00091054,145,14,46,34,4,5,26,3,6,5,2,1,2,-,2
S00091055,74,9,23,1,3,3,21,2,7,5,-,-,1,-,-
S00091056,91,10,40,8,4,1,13,4,5,5,1,-,2,-,1
S00091057,134,16,79,13,1,4,7,3,10,1,-,-,-,-,1
S00091058,110,15,58,8,6,3,7,4,8,1,-,3,-,1,2
S00091059,156,32,51,31,1,4,18,5,9,3,2,1,-,1,-
S00091060,52,13,21,5,2,2,5,2,1,-,1,1,-,-,1
S00091061,132,18,42,36,3,1,16,4,9,2,1,-,2,-,-
S00091062,111,14,52,17,5,-,13,3,4,3,-,2,2,2,3
S00091063,101,16,35,19,3,2,18,2,1,4,1,1,-,-,1
S00091064,97,11,36,24,-,1,8,4,6,6,1,-,-,-,-
S00091065,88,16,29,18,2,3,7,1,8,3,1,-,1,-,1
S00091066,81,16,31,10,3,1,11,3,5,1,-,1,1,1,1
S00091067,117,15,28,28,9,6,17,4,4,3,3,7,1,5,-
S00091068,128,17,52,26,3,1,15,8,6,-,-,1,-,-,1
S00091069,87,12,32,15,3,2,12,5,4,2,-,-,1,-,1
S00091070,97,9,36,22,3,2,16,-,7,-,2,1,1,-,2
S00091071,50,5,17,9,2,1,10,2,1,1,2,1,1,-,-
S00091072,78,8,36,12,1,1,10,5,4,1,-,-,-,-,-
S00091073,115,21,47,14,3,4,10,6,5,4,1,1,1,2,1
S00091074,148,23,68,11,2,2,21,1,4,4,12,-,1,-,2
S00091075,57,6,29,10,-,3,6,3,-,-,-,-,-,-,-
S00091076,63,9,20,15,1,4,7,2,2,3,-,-,1,-,1
S00091077,129,17,54,25,-,5,13,5,8,2,-,-,-,-,-
S00091078,62,10,29,12,-,3,5,3,-,-,-,-,-,-,-
S00091079,57,8,20,9,-,1,8,4,4,2,1,-,-,-,-
S00091080,65,6,24,14,1,4,7,2,5,-,2,1,-,-,-
S00091081,147,21,53,28,5,7,16,5,8,3,1,3,1,1,3
S00091082,140,17,62,24,4,4,12,5,4,6,2,1,-,2,-
S00091083,111,11,47,18,4,3,12,5,6,3,2,1,3,-,2
S00091084,41,6,16,10,1,2,1,2,3,-,-,-,-,-,1
S00091085,69,9,28,13,-,3,3,1,8,4,-,-,-,-,-
S00091086,48,11,20,8,1,-,3,2,-,3,-,-,1,-,-
S00091087,97,9,45,16,4,4,10,2,5,1,1,1,1,-,2
S00091088,102,11,42,17,-,3,14,4,4,4,3,-,-,-,-
S00091089,105,18,45,27,3,1,3,4,2,1,1,-,-,-,1
S00091090,130,23,57,20,2,4,10,3,7,3,1,2,-,-,-
S00091091,95,14,68,-,5,1,2,1,3,-,1,3,-,-,1
S00091092,145,20,59,28,2,3,19,3,10,-,1,1,1,-,2
S00091093,102,18,50,16,2,-,9,1,6,-,-,-,-,-,-
S00091094,90,9,40,17,-,1,9,4,5,4,1,-,-,-,-
S00091095,66,10,19,17,1,2,12,1,3,-,1,1,-,1,-
S00091096,125,15,61,21,2,2,12,6,5,1,-,1,1,1,1
S00091097,52,7,22,11,1,2,3,1,4,1,-,-,1,-,-
S00091098,50,6,17,20,1,2,2,2,-,-,-,1,-,1,-
S00091099,67,9,37,7,1,2,3,2,3,1,2,-,-,-,1
S00091100,114,10,44,22,3,2,13,8,8,1,3,-,2,-,2
S00091101,79,12,32,10,1,4,16,-,3,1,-,-,-,-,-
S00091102,70,8,28,12,-,3,13,2,1,2,1,-,-,-,-
S00091103,78,13,33,2,7,1,-,5,6,7,4,3,1,-,2
S00091104,53,14,21,2,-,4,-,6,4,2,-,-,-,-,-
S00091105,113,13,52,19,2,3,12,5,1,5,1,-,2,-,1
S00091106,102,10,49,19,1,1,10,5,3,2,2,-,1,-,-
S00091107,113,13,47,22,4,3,11,4,5,2,2,1,3,1,1
S00091108,128,21,47,22,1,3,23,5,6,-,-,-,-,-,-
S00091109,122,12,57,23,1,3,19,2,4,1,-,1,-,-,-
S00091110,121,16,48,19,1,4,20,4,2,2,5,-,-,-,-
S00091111,90,14,57,10,-,2,-,2,4,-,1,-,-,-,-
S00091112,83,8,62,5,-,1,1,-,4,1,1,-,-,-,-
S00091113,119,26,68,5,2,1,6,2,3,4,2,-,-,-,-
S00091114,87,15,51,4,-,4,1,2,7,2,1,-,-,-,-
S00091115,100,14,47,17,1,3,11,3,2,2,-,-,-,-,1
S00091116,76,8,30,21,-,1,10,2,1,1,2,-,-,-,-
S00091117,94,14,40,19,2,1,15,-,3,-,-,-,1,-,1
S00091118,133,19,62,29,2,-,14,3,3,-,1,1,-,-,-
S00091119,104,10,50,21,1,2,12,1,2,4,1,1,-,-,-
S00091120,104,12,49,14,3,2,15,2,4,2,1,1,-,1,-
S00091121,99,17,40,11,2,5,5,9,8,-,2,1,-,1,1
S00091122,108,9,83,6,1,1,-,3,2,1,2,-,1,-,1
S00091123,103,19,53,10,3,4,2,5,7,-,-,1,-,-,2
S00091124,100,13,64,3,3,6,3,2,1,5,-,2,-,1,-
S00091125,86,12,38,10,3,3,10,2,5,-,3,1,2,-,-
S00091126,202,29,90,23,5,14,10,14,14,2,1,1,2,-,1
S00091127,65,11,28,5,1,5,-,2,7,2,4,-,-,-,-
S00091128,91,16,42,8,6,6,2,5,4,2,-,4,-,1,-
S00091129,75,9,46,6,-,4,6,-,4,-,-,-,-,-,-
S00091130,102,10,51,21,-,3,4,4,7,1,1,-,-,-,-
S00091131,128,21,49,24,1,6,12,3,7,5,-,-,1,-,-
S00091132,105,13,38,25,-,3,12,5,4,1,4,-,-,-,-
S00091133,89,11,36,21,1,-,8,2,3,3,4,1,-,-,-
S00091134,72,7,21,13,1,1,24,3,-,-,2,-,1,-,-
S00091135,90,13,39,12,-,3,12,4,4,2,1,-,-,-,-
S00091136,133,17,52,26,5,3,17,2,7,2,2,1,3,-,2
S00091137,135,22,53,21,-,2,22,3,8,2,2,-,-,-,-
S00091138,67,11,25,6,2,3,12,4,3,1,-,1,1,-,-
S00091139,60,10,26,6,-,1,10,2,3,1,1,-,-,-,-
S00091140,119,17,53,22,1,6,10,3,6,1,-,1,-,-,-
S00091141,49,9,20,11,2,1,4,-,1,1,-,-,1,-,1
S00091142,89,10,36,20,1,1,8,3,9,1,-,-,1,-,-
S00091143,94,9,29,38,2,1,10,-,3,-,2,-,1,-,-
S00091144,108,11,46,32,1,1,12,-,2,2,1,-,1,-,-
S00091145,135,15,60,34,4,3,7,1,5,2,4,1,-,-,2
S00091146,97,14,33,21,2,2,15,4,4,1,1,-,-,-,-
S00091147,88,13,31,13,3,2,17,2,1,4,2,1,-,2,-
S00091148,98,13,40,10,1,1,22,4,7,-,-,-,-,-,-
S00091149,129,19,49,28,-,6,14,3,7,2,1,-,-,-,-
S00091150,97,21,37,15,1,5,12,2,2,1,1,-,1,-,1
S00091151,132,19,60,11,3,2,23,5,7,1,1,-,2,-,-
S00091152,108,20,46,17,5,2,2,-,16,-,-,2,-,-,1
S00091153,81,10,36,13,2,2,9,4,3,2,-,-,1,-,1
S00091154,104,11,49,18,1,5,11,4,4,1,-,-,-,-,1
S00091155,81,10,34,19,1,5,6,1,3,1,1,-,-,-,-
S00091156,73,9,31,11,1,3,14,-,3,-,1,-,-,-,-
S00091157,114,20,38,19,-,1,18,7,8,1,2,-,-,-,-
S00091158,100,16,44,16,-,1,16,4,2,1,-,-,-,-,-
S00091159,71,9,34,7,-,-,14,1,5,-,1,-,-,-,-
S00091160,120,13,57,19,2,7,18,1,1,2,-,-,1,-,-
S00091161,121,25,40,29,3,2,9,6,5,2,-,3,-,1,-
S00091162,132,19,62,20,1,6,10,7,4,-,3,-,-,-,-
S00091163,105,21,50,11,2,6,5,5,4,1,-,2,-,-,1
S00091164,71,8,33,5,2,2,9,3,2,5,2,1,1,-,-
S00091165,140,24,60,22,2,10,12,4,2,2,2,1,-,-,-
S00091166,115,12,60,16,-,3,16,3,2,1,2,-,-,-,-
S00091167,66,9,31,8,3,1,6,3,3,1,1,-,-,-,1
S00091168,110,19,40,22,1,4,13,1,7,3,-,1,-,-,-
S00091169,51,7,26,4,2,1,6,2,-,3,-,1,1,-,1
S00091170,137,12,66,15,1,3,17,5,7,10,1,1,-,-,1
S00091171,80,12,37,6,2,2,10,2,3,4,2,-,-,1,-
S00091172,46,5,22,10,-,1,7,-,-,1,-,-,-,-,-
S00091173,104,21,38,14,1,3,15,4,8,-,-,-,-,-,1
S00091174,84,16,24,24,-,-,13,5,2,-,-,-,-,-,-
S00091175,116,19,54,16,-,5,12,4,5,1,-,-,-,-,-
S00091176,96,13,51,13,3,1,9,1,4,1,-,1,1,1,1
S00091177,84,8,37,9,3,2,12,6,4,3,-,-,1,-,1
S00091178,139,18,59,19,-,7,17,6,9,1,3,-,-,-,-
S00091179,49,6,19,9,1,1,4,3,3,3,-,-,-,-,1
S00091180,53,6,30,5,-,-,6,2,4,-,-,-,-,-,-
S00091181,123,18,52,23,2,4,10,2,6,5,1,-,2,-,2
S00091182,97,12,34,22,-,2,13,4,4,5,1,-,-,-,-
S00091183,61,8,30,9,2,1,5,1,2,1,2,-,1,-,1
S00091184,73,5,24,12,4,1,18,2,2,5,-,-,2,-,3
S00091185,89,11,26,17,1,4,18,3,7,2,-,-,-,-,-
S00091186,95,18,26,22,3,1,12,5,3,4,1,-,1,-,1
S00091187,104,18,38,22,2,3,14,3,3,-,1,-,1,-,2
S00091188,111,16,55,8,1,1,18,2,5,4,1,1,-,-,-
S00091189,90,15,39,1,7,-,19,1,3,5,-,2,-,-,2
S00091190,80,9,24,26,-,1,15,1,3,1,-,-,-,-,-
S00091191,112,20,42,23,1,3,14,3,6,-,-,-,-,-,1
S00091192,116,16,53,7,-,3,23,3,5,4,2,-,-,-,-
S00091193,103,15,54,7,-,5,7,8,2,5,-,-,-,-,-
S00091194,78,6,24,6,4,-,27,1,5,4,1,-,2,-,1
S00091195,82,13,27,17,1,2,9,2,7,3,1,-,-,-,-
S00091196,102,16,34,23,5,4,12,5,3,-,-,-,1,-,-
S00091197,104,18,30,26,5,3,16,-,4,1,1,-,-,-,4
S00091198,120,15,68,10,3,3,8,5,7,-,1,2,1,-,1
S00091199,111,21,41,18,-,1,19,1,5,2,3,-,-,-,-
S00091200,98,22,37,1,4,2,5,4,7,14,2,1,1,-,2
S00091201,86,14,31,21,5,-,6,-,5,4,-,1,1,1,1
S00091202,108,14,39,28,4,-,8,4,4,3,4,3,-,-,-
S00091203,95,10,38,19,7,1,11,3,1,3,2,2,-,1,2
S00091204,95,11,32,15,2,4,13,5,6,5,2,1,-,-,1
S00091205,80,10,31,15,2,2,9,3,5,2,1,1,1,-,-
