,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00089072,113,5,-,3,5,-,-,3,16,21,30,24,3,2,1,-,-,33.0,31
S00089073,94,4,-,-,-,-,1,2,17,10,35,14,5,5,1,-,-,35.6,33
S00089074,145,7,3,3,8,1,3,4,17,22,38,27,2,5,5,-,-,34.0,32
S00089075,87,8,1,-,1,-,2,1,21,18,18,15,-,-,2,-,-,29.8,26
S00089076,113,5,4,-,1,1,-,1,6,11,32,24,7,11,8,1,1,43.7,42
S00089077,90,3,3,2,3,-,1,-,9,11,35,16,5,1,1,-,-,35.2,37
S00089078,52,4,1,-,-,-,-,2,3,7,5,5,3,8,13,1,-,50.2,56
S00089079,61,5,-,-,3,1,2,1,7,4,16,14,1,2,2,2,1,38.3,36
S00089080,100,12,6,3,10,1,4,4,3,11,27,15,1,3,-,-,-,27.3,29
S00089081,74,2,-,-,1,-,1,-,1,2,16,16,10,17,8,-,-,52.8,57
S00089082,82,4,3,2,5,2,-,1,3,4,14,16,7,11,6,3,1,45.2,46
S00089083,120,5,5,2,8,1,3,5,10,10,27,26,3,8,7,-,-,37.0,36
S00089084,100,8,3,6,5,2,4,-,1,9,8,26,7,13,5,2,1,41.1,47
S00089085,121,11,6,2,8,-,1,7,14,4,31,19,4,6,4,2,2,34.4,33
S00089086,100,5,1,3,3,1,6,2,7,5,19,25,8,8,6,1,-,40.8,44
S00089087,141,7,3,4,6,-,1,4,13,11,30,32,10,12,7,1,-,40.3,41
S00089088,93,5,4,3,4,-,2,1,11,9,19,14,5,10,3,3,-,37.6,32
S00089089,110,5,5,2,5,1,4,4,9,4,30,21,6,11,3,-,-,37.8,41
S00089090,126,10,1,4,9,2,4,5,12,9,26,26,3,10,4,1,-,35.7,36
S00089091,150,9,9,8,20,8,8,8,9,5,35,20,4,5,1,1,-,28.1,22
S00089092,171,13,13,6,28,5,8,4,9,17,34,26,2,2,4,-,-,26.7,23
S00089093,166,12,5,10,14,3,5,-,8,16,47,27,13,5,1,-,-,32.5,33
S00089094,90,6,6,3,6,3,6,1,9,6,14,18,4,7,1,-,-,32.3,29
S00089095,119,15,7,3,7,1,3,4,6,14,23,29,1,5,1,-,-,30.5,29
S00089096,97,11,5,5,7,-,1,2,8,11,19,19,7,1,-,1,-,30.4,28
S00089097,83,5,4,-,4,1,1,1,4,10,26,22,3,1,1,-,-,35.0,34
S00089098,82,13,4,1,5,-,1,4,10,8,17,17,2,-,-,-,-,27.2,28
S00089099,120,13,5,5,7,1,4,3,12,7,36,18,4,1,3,-,1,30.4,31
S00089100,101,5,3,3,6,-,1,1,5,-,20,18,4,14,16,3,2,48.4,48
