,All people,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90 and over,Mean age,Median age
S00111088,146,3,6,2,6,3,3,1,4,5,28,33,19,19,9,3,2,47.1,50
S00111089,108,3,2,3,5,4,-,2,4,-,17,23,15,17,9,2,2,49.3,55
S00111090,98,6,-,-,2,-,-,-,-,8,15,21,18,15,11,2,-,52.8,59
S00111091,89,1,1,-,3,1,-,-,4,5,8,20,11,20,12,3,-,55.6,61
S00111092,132,5,2,1,1,-,1,2,27,10,19,26,9,13,12,4,-,43.5,41
S00111093,112,2,7,3,3,-,1,1,5,9,11,17,15,20,14,4,-,49.9,57
S00111094,162,8,1,1,2,1,-,3,34,9,24,32,11,20,10,4,2,43.6,42
S00111095,91,2,1,1,2,-,1,1,11,6,7,20,10,18,10,1,-,50.3,56
S00111096,86,1,-,1,2,2,-,1,7,3,9,11,15,16,8,4,6,56.1,62
S00111097,109,6,2,4,-,1,2,2,12,2,18,15,10,16,18,1,-,46.9,51
S00111098,82,-,-,1,3,-,2,-,5,-,3,22,10,17,13,5,1,59.4,61
S00111099,77,4,-,-,1,1,-,4,17,2,6,5,5,13,15,3,1,48.7,58
S00111100,119,6,-,3,2,-,1,4,20,2,13,14,8,19,23,3,1,49.2,54
S00111101,119,3,-,2,3,1,-,3,31,3,9,19,8,17,15,5,-,46.8,52
S00111102,125,-,1,-,2,-,2,9,65,9,9,9,3,9,6,1,-,32.1,21
S00111103,103,3,5,1,2,2,3,4,29,11,15,16,5,4,2,-,1,33.0,26
S00111104,161,-,-,-,6,1,-,9,103,6,12,8,4,7,1,3,1,28.7,21
S00111105,132,3,3,1,2,-,1,12,40,15,21,9,4,9,9,3,-,35.2,25
S00111106,142,2,-,1,1,-,1,23,75,10,13,1,3,9,3,-,-,27.8,22
S00111107,122,4,3,2,4,1,1,7,40,21,20,10,2,5,2,-,-,29.2,24
S00111108,111,2,1,1,-,-,-,13,27,6,18,6,6,15,12,1,3,43.0,40
S00111109,91,4,-,1,-,-,1,5,44,11,9,6,2,4,2,1,1,29.8,22
S00111110,162,5,2,1,9,2,4,9,27,16,30,24,12,7,12,2,-,37.7,32
S00111111,142,3,7,1,7,2,2,2,44,9,21,18,3,12,6,3,2,35.5,26
S00111112,145,4,3,1,2,2,1,6,50,16,14,23,5,12,4,2,-,35.2,25
S00111113,106,6,-,-,1,1,1,3,20,12,19,12,8,10,8,5,-,42.0,38
S00111114,126,8,3,1,10,1,4,9,12,7,17,31,5,9,4,4,1,38.0,37
S00111115,75,4,-,4,1,-,1,-,7,6,14,13,6,6,9,4,-,45.7,45
S00111116,98,5,2,-,1,-,2,8,16,7,8,15,3,15,9,4,3,44.6,44
S00111117,86,4,3,1,1,-,-,3,7,5,12,15,7,20,7,1,-,47.1,53
S00111118,73,1,4,1,-,1,-,1,10,10,14,9,6,8,5,2,1,42.5,38
S00111119,51,1,4,-,2,-,1,-,10,5,7,9,2,-,5,3,2,41.9,41
S00111120,108,8,2,1,6,-,-,2,8,10,21,16,5,15,10,4,-,43.5,42
S00111121,86,4,-,3,1,-,-,1,1,3,17,19,13,9,9,3,3,52.1,57
S00111122,120,7,2,1,-,2,4,2,9,10,25,19,13,9,14,3,-,44.3,43
S00111123,76,2,4,1,2,-,-,2,7,2,16,10,3,12,9,1,5,48.0,46
S00111124,98,6,3,2,3,3,3,4,10,2,14,11,6,16,13,1,1,43.8,44
S00111125,123,7,3,-,2,-,-,3,26,11,16,9,13,14,17,2,-,43.0,38
S00111126,145,-,1,2,1,1,4,1,25,8,19,39,14,19,10,1,-,46.5,49
S00111127,112,6,5,1,5,2,-,-,11,7,24,23,7,16,4,-,1,40.7,43
S00111128,103,1,2,-,-,1,-,2,10,10,11,19,14,18,14,1,-,50.9,58
S00111129,102,7,2,-,3,1,3,1,9,8,21,20,7,10,9,1,-,41.9,42
S00111130,134,10,2,3,4,2,2,3,10,9,28,20,15,17,5,3,1,41.6,42
S00111131,126,7,1,1,3,1,1,4,17,10,24,22,9,17,9,-,-,41.8,40
S00111132,139,8,7,4,6,1,3,2,29,9,27,21,7,9,5,-,1,34.2,30
S00111133,93,1,3,2,1,1,1,-,9,3,8,23,7,14,16,2,2,53.1,57
S00111134,144,2,-,-,5,2,4,6,33,6,14,31,12,11,16,2,-,43.0,45
S00111135,105,3,1,1,6,1,4,-,4,-,13,9,11,20,24,7,1,56.2,64
S00111136,136,8,7,8,9,1,5,3,19,16,27,19,4,5,5,-,-,30.8,28
S00111137,134,6,6,1,1,2,1,4,40,12,17,20,8,6,10,-,-,35.6,27
S00111138,124,6,2,1,-,1,-,7,37,13,17,12,5,11,8,2,2,37.5,28
S00111139,113,5,2,3,5,-,2,3,17,9,29,11,1,14,8,3,1,39.5,35
S00111140,65,5,1,1,3,-,-,-,9,1,15,6,4,5,10,3,2,45.8,40
S00111141,104,6,4,-,2,1,1,-,15,5,18,24,4,10,11,3,-,43.9,45
S00111142,127,9,3,4,3,-,1,5,34,9,14,19,3,14,8,-,1,36.1,27
S00111143,433,-,-,4,5,-,1,99,223,37,20,15,3,18,6,2,-,26.1,21
S00111144,179,3,1,1,10,3,2,1,11,3,8,32,14,24,40,17,9,59.2,65
S00111145,522,4,3,1,5,-,14,91,285,61,21,19,7,8,1,2,-,24.8,22
S00111146,56,-,2,2,2,-,-,3,8,-,5,6,3,8,12,5,-,52.7,61
S00111147,72,1,1,2,4,1,1,2,13,4,6,17,6,8,6,-,-,42.5,47
S00111148,119,2,6,4,3,2,6,5,3,4,12,23,15,16,13,3,2,47.7,54
S00111149,159,2,4,2,5,-,2,3,41,6,19,16,16,18,19,2,4,44.9,43
S00111150,79,-,-,-,-,-,-,-,21,2,-,2,4,7,16,16,11,64.1,81
S00111151,149,-,1,-,-,-,-,4,86,12,10,12,3,7,11,3,-,33.9,22
S00111152,169,4,3,2,4,2,2,9,75,8,10,22,7,11,6,4,-,33.9,22
S00111153,"1,908",7,3,2,11,1,32,883,820,71,32,17,4,13,7,5,-,21.3,20
S00111154,187,-,1,-,7,1,3,12,115,4,5,15,9,7,6,2,-,29.7,22
S00111155,213,-,-,-,-,-,-,88,79,10,5,6,4,9,6,6,-,27.8,20
S00111156,285,1,-,-,-,-,3,127,83,7,14,11,4,14,9,2,10,29.8,20
S00111157,132,-,-,-,2,1,1,13,85,3,7,9,5,4,2,-,-,28.0,21
S00111158,180,1,3,-,2,1,-,16,110,16,10,8,-,2,3,3,5,27.8,21
S00111159,407,-,2,3,3,-,4,151,187,15,11,14,1,9,6,1,-,23.8,20
S00111160,142,1,1,-,1,2,1,19,67,3,8,7,8,15,7,2,-,34.0,21
S00111161,214,1,-,-,3,-,1,10,126,17,5,6,2,6,9,13,15,35.9,22
S00111162,71,-,-,-,-,-,-,1,21,6,1,1,6,12,8,6,9,54.6,64
S00111163,117,-,-,-,-,-,1,2,75,9,10,5,4,4,4,3,-,30.7,22
S00111164,68,1,-,1,1,-,-,9,14,5,8,12,2,10,4,-,1,40.6,34
S00111165,345,-,-,-,-,-,1,112,179,12,6,11,5,7,8,4,-,25.4,20
S00111166,102,4,1,-,-,-,-,7,45,6,7,6,1,9,11,4,1,37.7,23
S00111167,136,2,1,-,2,-,-,18,69,15,20,3,2,3,1,-,-,25.5,21
S00111168,146,-,-,-,-,1,-,-,82,28,12,7,2,9,5,-,-,30.6,24
S00111169,77,1,-,-,-,-,-,1,36,7,6,6,2,8,7,3,-,38.8,25
S00111170,158,2,-,-,-,-,2,11,86,14,8,10,5,10,7,2,1,32.6,23
S00111171,50,-,-,-,-,-,-,-,20,5,-,2,5,6,8,3,1,47.8,36
S00111172,247,4,2,2,14,21,69,23,34,15,21,20,3,5,8,6,-,27.1,18
S00111173,113,-,-,-,-,-,-,11,69,9,7,8,3,3,3,-,-,28.2,21
S00111174,121,3,-,1,1,-,-,-,46,36,9,4,4,4,11,2,-,33.9,25
S00111175,103,1,-,2,8,4,5,-,5,2,12,34,9,16,5,-,-,45.7,49
S00111176,121,4,5,6,9,-,1,1,4,2,17,21,9,26,15,-,1,47.4,52
S00111177,182,9,6,7,12,4,9,3,13,9,36,49,6,9,10,-,-,37.0,38
S00111178,115,3,3,2,11,1,1,4,7,6,27,21,8,10,9,2,-,41.4,41
S00111179,115,14,1,-,8,1,2,2,12,10,22,19,7,10,5,2,-,37.0,35
S00111180,135,8,5,2,10,1,3,4,12,5,26,28,12,13,4,2,-,38.9,42
S00111181,137,11,3,2,8,3,2,1,9,10,23,30,7,15,9,3,1,41.8,43
S00111182,139,7,2,2,9,1,5,4,6,10,21,29,18,15,10,-,-,43.0,45
S00111183,132,12,4,5,8,1,1,6,9,6,22,32,9,9,5,3,-,37.7,40
S00111184,105,5,2,1,5,-,4,2,3,5,16,34,8,9,9,2,-,45.4,49
S00111185,73,5,2,1,1,-,1,-,4,10,20,16,7,3,2,1,-,39.3,39
S00111186,70,-,2,-,1,1,1,1,3,5,14,24,8,7,3,-,-,47.3,52
S00111187,116,4,1,2,5,1,5,2,5,3,24,29,7,16,8,2,2,46.0,47
S00111188,144,8,3,-,8,1,3,1,11,6,19,40,7,18,15,3,1,46.0,49
S00111189,123,8,3,7,12,2,1,3,6,3,27,28,10,6,6,1,-,37.3,39
S00111190,97,4,-,2,5,-,3,2,12,3,12,22,4,16,8,3,1,46.2,50
S00111191,158,12,3,4,10,2,3,3,3,7,25,42,15,15,13,-,1,43.1,47
S00111192,79,5,3,1,3,1,3,1,6,1,18,22,2,4,7,1,1,40.9,42
S00111193,93,11,4,-,1,1,1,1,5,10,24,17,7,6,3,2,-,37.4,36
S00111194,84,3,1,1,4,-,1,5,4,4,10,33,8,6,4,-,-,44.1,49
S00111195,86,5,3,1,-,-,1,-,5,9,21,19,5,8,7,-,2,44.3,42
S00111196,112,8,4,1,3,4,4,2,15,10,14,34,5,6,1,-,1,36.1,40
S00111197,129,18,5,-,10,1,2,3,15,24,43,8,-,-,-,-,-,24.9,27
S00111198,126,16,5,1,5,1,-,1,17,28,48,3,1,-,-,-,-,25.5,28
S00111199,102,17,2,3,7,2,1,2,6,11,51,-,-,-,-,-,-,24.1,30
S00111200,83,-,-,2,2,1,1,-,1,2,3,17,15,19,17,2,1,60.6,64
S00111201,139,4,2,1,9,3,6,2,8,12,37,17,5,21,12,-,-,41.8,41
S00111202,146,2,2,3,11,1,3,-,8,10,21,24,12,29,17,3,-,48.3,51
S00111203,140,7,5,5,9,3,3,4,5,7,36,25,3,21,5,2,-,39.3,39
S00111204,156,30,12,7,18,1,5,3,7,12,50,11,-,-,-,-,-,21.8,23
S00111205,179,31,21,6,29,1,3,2,6,2,63,15,-,-,-,-,-,21.5,17
S00111206,436,5,2,1,1,1,4,38,148,108,73,21,5,7,15,4,3,30.2,25
S00111207,153,21,12,7,9,-,4,3,2,12,62,21,-,-,-,-,-,26.6,31
S00111208,109,14,11,1,7,2,4,2,5,3,47,13,-,-,-,-,-,26.9,32
S00111209,101,2,-,1,4,-,4,3,8,3,24,21,3,15,10,2,1,46.9,46
S00111210,161,15,9,6,8,1,6,1,10,18,38,21,4,11,10,2,1,35.1,32
S00111211,96,10,4,3,9,1,-,1,2,21,29,14,1,1,-,-,-,27.6,29
S00111212,156,4,5,2,14,4,4,1,6,3,23,37,9,25,15,4,-,46.0,49
S00111213,103,5,4,-,7,4,3,3,5,-,15,25,8,12,8,2,2,44.3,47
S00111214,86,3,1,2,5,-,2,1,3,4,18,19,3,9,12,4,-,47.5,47
S00111215,139,6,3,2,13,3,5,2,4,3,24,40,11,11,6,2,4,43.0,46
S00111216,96,3,1,-,8,1,1,4,4,1,12,22,11,22,6,-,-,48.5,54
S00111217,131,10,9,2,6,-,3,2,3,3,29,29,8,14,9,2,2,41.9,41
S00111218,162,11,6,5,9,3,2,1,9,5,35,33,15,18,7,3,-,41.6,43
S00111219,153,8,5,2,12,2,4,6,4,5,33,31,8,18,12,2,1,42.1,44
S00111220,121,4,4,2,5,1,4,1,2,2,14,29,17,25,9,2,-,50.0,57
S00111221,58,1,2,2,3,3,5,4,2,2,13,16,3,1,1,-,-,34.9,41
S00111222,120,9,4,3,7,4,2,-,-,5,18,23,11,23,9,2,-,45.1,49
S00111223,104,1,1,4,13,1,7,1,1,2,16,32,5,9,7,3,1,43.7,47
S00111224,140,1,5,4,9,1,4,1,4,1,21,38,7,30,11,1,2,48.3,50
S00111225,130,6,4,1,7,4,7,2,5,3,19,39,8,20,5,-,-,42.9,49
S00111226,132,6,3,3,14,4,3,-,6,5,17,43,14,9,3,2,-,40.5,46
S00111227,109,10,3,1,6,2,4,4,4,5,23,25,8,9,4,1,-,38.6,42
S00111228,176,3,5,5,9,-,10,3,6,4,23,61,14,18,12,2,1,45.8,49
S00111229,149,3,4,3,12,4,2,1,5,6,12,30,18,26,18,1,4,49.7,55
S00111230,85,2,5,-,2,1,-,1,5,6,15,19,10,13,3,3,-,46.5,49
S00111231,117,6,3,3,13,1,5,3,1,2,16,38,5,12,6,1,2,42.2,47
S00111232,113,3,2,1,5,-,2,2,3,8,28,32,14,5,4,4,-,44.6,46
S00111233,107,7,3,1,4,4,2,1,8,6,18,31,8,11,3,-,-,39.9,44
S00111234,154,11,3,-,4,-,1,2,2,6,16,16,13,25,24,20,11,58.4,65
S00111235,107,4,8,2,4,1,4,-,4,2,9,36,11,13,5,4,-,45.7,51
S00111236,150,6,2,3,8,-,9,2,9,9,18,35,10,20,10,7,2,45.8,48
S00111237,121,14,7,3,7,2,2,-,2,7,24,22,12,7,8,4,-,39.0,40
S00111238,121,4,2,2,9,-,2,2,4,5,27,25,5,15,10,7,2,46.7,48
S00111239,173,10,7,1,8,3,3,1,5,1,18,35,13,23,22,14,9,52.4,57
S00111240,86,7,1,-,4,1,4,-,1,3,14,23,9,10,5,4,-,46.5,52
S00111241,126,9,7,1,5,2,3,3,12,12,20,28,6,8,7,2,1,37.8,32
S00111242,90,4,-,-,2,2,2,1,5,13,15,29,2,12,3,-,-,42.1,46
S00111243,63,8,5,3,1,-,-,2,2,5,18,13,1,4,1,-,-,33.2,34
S00111244,128,5,5,6,10,4,6,2,6,1,21,34,6,13,5,4,-,40.3,44
S00111245,109,7,6,4,17,2,2,1,7,1,25,18,5,3,9,1,1,35.0,37
S00111246,134,-,3,1,6,-,4,4,4,3,15,41,12,19,9,7,6,53.5,56
S00111247,68,4,3,1,1,-,2,1,8,13,15,10,3,5,1,-,1,34.8,30
S00111248,79,1,-,-,5,1,-,1,6,2,10,21,9,5,11,4,3,52.9,54
S00111249,98,5,4,3,5,2,3,2,8,3,17,19,4,5,12,5,1,42.5,43
S00111250,69,2,-,2,4,-,4,2,4,3,9,13,2,11,8,5,-,48.0,48
S00111251,116,3,5,3,2,1,-,3,6,1,18,30,11,19,13,-,1,49.3,53
S00111252,164,5,6,2,13,1,7,2,8,7,21,47,14,20,8,2,1,42.8,46
S00111253,96,1,2,1,-,1,-,1,4,5,12,23,15,15,13,2,1,54.0,59
S00111254,85,1,-,-,5,-,2,5,2,3,7,28,9,19,3,-,1,49.6,50
S00111255,147,7,5,3,8,3,2,1,6,5,25,33,18,19,10,2,-,44.5,46
S00111256,130,11,9,1,9,2,3,1,10,11,41,18,5,3,2,3,1,32.7,33
S00111257,112,7,1,3,3,3,1,1,8,11,10,34,6,12,9,3,-,44.6,49
S00111258,103,3,3,4,2,2,3,2,3,2,19,20,12,14,11,2,1,47.8,52
S00111259,98,6,5,2,4,2,1,1,2,2,18,35,6,8,6,-,-,42.4,46
S00111260,93,7,5,3,3,1,2,1,3,3,16,23,10,4,7,4,1,42.5,45
S00111261,80,3,1,2,2,-,3,3,4,2,15,26,5,8,6,-,-,44.5,49
S00111262,117,9,8,5,8,2,2,5,8,8,24,16,4,6,11,1,-,35.1,30
S00111263,89,3,1,1,5,-,2,3,3,4,18,23,11,6,8,1,-,45.2,47
S00111264,73,5,2,-,4,1,1,1,5,4,17,16,3,7,4,1,2,41.1,39
S00111265,173,7,4,-,7,1,11,5,15,7,23,52,15,17,5,4,-,42.2,47
S00111266,218,19,12,10,15,2,3,6,8,15,39,43,10,24,10,2,-,36.6,36
S00111267,92,5,2,1,9,-,5,3,7,10,18,19,6,3,3,1,-,35.4,34
S00111268,77,2,1,3,6,-,3,3,4,4,7,27,9,4,4,-,-,41.6,47
S00111269,85,6,5,2,-,2,3,1,3,2,17,18,6,12,8,-,-,43.3,45
S00111270,96,5,4,4,5,3,4,3,7,6,18,24,7,2,2,1,1,35.8,37
S00111271,72,1,-,1,1,1,-,1,6,6,17,22,5,6,4,-,1,45.2,47
S00111272,87,5,3,2,3,2,1,-,1,-,23,22,7,9,7,-,2,45.0,46
S00111273,92,6,1,1,8,-,2,2,3,3,13,28,15,10,-,-,-,42.6,50
S00111274,64,2,1,2,2,1,1,4,3,3,9,14,7,10,5,-,-,45.1,48
S00111275,80,2,2,2,7,2,2,-,2,4,15,18,5,4,10,2,3,45.2,45
S00111276,96,1,3,2,6,-,3,4,7,7,14,30,4,8,5,1,1,41.3,45
S00111277,135,11,6,5,10,4,8,3,4,3,29,24,3,15,8,1,1,36.8,38
S00111278,118,7,3,3,8,1,4,4,2,8,30,24,9,8,6,1,-,39.2,39
S00111279,88,1,2,4,6,1,1,2,3,5,15,23,6,11,5,2,1,44.9,47
S00111280,82,3,2,2,4,1,-,-,2,4,19,16,9,10,9,-,1,46.7,50
S00111281,62,6,2,1,2,-,1,-,-,-,11,18,5,9,4,2,1,48.1,53
S00111282,70,2,3,2,2,1,4,1,4,1,9,16,9,10,3,2,1,45.9,53
S00111283,113,5,-,2,4,1,2,1,7,3,21,29,9,19,6,3,1,47.9,51
S00111284,106,7,2,1,4,1,2,3,8,6,28,23,6,11,3,1,-,39.8,42
S00111285,60,7,-,-,-,-,-,-,5,10,16,12,-,4,5,1,-,38.9,34
S00111286,94,4,2,2,5,-,1,3,5,5,23,23,4,13,3,-,1,42.5,43
S00111287,130,9,10,1,10,-,6,6,14,10,25,23,8,2,4,2,-,32.5,29
S00111288,103,7,4,1,8,4,2,-,2,2,19,29,9,10,4,2,-,42.0,47
S00111289,147,21,10,3,11,-,3,1,8,4,44,32,5,4,1,-,-,31.1,36
S00111290,126,14,5,5,5,2,1,2,4,4,43,21,9,10,1,-,-,34.7,35
S00111291,162,20,15,3,10,-,1,2,2,8,53,25,13,7,2,-,1,32.9,35
S00111292,114,6,5,1,19,7,4,3,2,1,17,21,11,16,1,-,-,37.0,42
S00111293,141,17,6,3,12,1,2,1,3,16,50,20,4,3,2,-,1,30.3,30
S00111294,137,6,8,6,9,4,1,2,8,2,40,33,11,6,1,-,-,36.7,40
S00111295,103,5,1,1,5,2,2,4,2,10,22,23,7,14,4,1,-,42.1,44
S00111296,78,1,-,1,6,-,1,1,3,11,8,18,6,6,11,5,-,49.1,52
S00111297,55,2,3,1,-,-,1,2,1,1,7,13,5,3,11,4,1,53.1,54
S00111298,90,2,-,1,-,-,1,2,6,7,11,34,6,7,13,-,-,49.2,53
S00111299,77,2,4,-,1,2,-,3,5,9,12,24,2,6,7,-,-,42.8,45
S00111300,84,5,3,-,3,2,-,1,4,4,9,23,11,9,6,3,1,46.9,51
S00111301,122,10,7,2,5,2,2,3,9,14,29,23,3,8,5,-,-,34.0,31
S00111302,93,3,2,4,6,1,3,2,6,3,19,19,8,11,6,-,-,41.6,42
S00111303,58,3,3,1,1,-,1,3,1,1,14,17,7,2,3,1,-,42.0,46
S00111304,107,5,2,-,4,-,1,4,16,10,21,39,4,-,1,-,-,36.7,36
S00111305,74,7,5,6,2,2,3,3,6,5,10,15,3,5,2,-,-,31.4,27
S00111306,55,2,-,1,-,2,3,1,6,1,9,13,6,6,4,-,1,44.9,46
S00111307,105,2,3,3,4,3,1,-,4,7,17,28,8,19,5,-,1,45.8,48
S00111308,108,2,-,3,-,1,1,2,4,3,22,19,11,13,12,7,8,55.2,55
S00111309,172,8,6,5,12,2,3,4,11,16,49,30,8,10,6,-,2,37.1,38
S00111310,124,7,3,6,13,3,3,1,1,4,19,23,17,14,7,2,1,42.0,46
S00111311,106,3,2,5,5,1,2,-,6,3,13,28,11,23,3,1,-,46.7,53
S00111312,113,9,5,5,13,4,4,5,15,7,19,21,1,3,2,-,-,28.4,23
S00111313,99,8,6,3,12,1,3,1,7,6,24,21,2,2,3,-,-,30.8,31
S00111314,83,1,1,-,1,-,-,-,-,3,4,12,9,18,19,13,2,66.9,73
S00111315,64,4,2,-,-,-,1,1,9,13,14,4,-,6,8,2,-,39.6,30
S00111316,127,8,4,2,14,-,1,5,8,10,23,32,3,14,3,-,-,36.6,38
S00111317,113,11,5,4,9,2,6,4,13,11,20,23,2,2,-,-,1,29.2,25
S00111318,68,3,2,1,-,-,-,2,3,9,17,17,11,-,3,-,-,40.8,42
S00111319,185,22,5,5,12,7,11,4,9,3,62,40,-,5,-,-,-,30.6,35
S00111320,249,40,16,6,14,7,5,5,13,12,88,33,4,4,2,-,-,27.8,32
S00111321,203,24,12,3,15,1,5,6,4,13,70,41,2,7,-,-,-,30.4,33
S00111322,166,21,5,6,9,3,3,3,5,26,59,18,1,4,3,-,-,29.1,30
S00111323,122,13,9,4,11,6,6,4,1,6,37,22,-,2,-,1,-,28.2,30
S00111324,153,15,8,5,15,5,3,3,8,7,57,21,3,3,-,-,-,28.9,32
S00111325,119,10,8,4,12,1,-,2,2,7,53,13,2,2,3,-,-,30.8,34
S00111326,127,12,3,4,4,-,-,2,15,34,31,14,7,1,-,-,-,29.1,28
S00111327,185,18,8,5,8,2,2,4,4,16,77,28,6,7,-,-,-,32.5,34
S00111328,176,21,10,3,21,2,7,3,4,4,68,31,-,2,-,-,-,28.5,33
S00111329,82,7,2,1,9,4,3,2,7,8,29,9,-,1,-,-,-,27.4,29
S00111330,177,2,3,3,10,3,5,2,7,5,28,49,11,18,16,9,6,49.9,51
S00111331,151,16,8,5,17,5,10,2,6,7,38,28,5,4,-,-,-,29.2,28
S00111332,62,2,-,-,-,1,2,1,2,6,13,13,3,10,7,2,-,47.9,47
S00111333,93,5,5,2,6,-,-,-,16,13,20,12,5,6,3,-,-,33.7,29
S00111334,97,2,1,-,-,-,2,2,17,18,18,20,7,5,3,1,1,39.7,35
S00111335,159,6,7,5,9,3,2,3,6,5,41,45,16,8,3,-,-,39.4,42
S00111336,89,5,1,-,3,-,-,-,2,6,22,17,4,12,14,3,-,49.2,47
S00111337,92,3,3,1,4,2,4,1,2,5,27,23,9,6,1,-,1,40.2,41
S00111338,73,3,4,3,5,2,1,-,1,-,19,6,3,23,2,1,-,44.6,43
S00111339,107,3,-,-,7,-,3,1,2,2,17,14,11,27,14,6,-,54.3,61
S00111340,106,1,1,-,7,1,-,2,1,2,9,27,5,13,16,11,10,60.3,61
S00111341,125,5,3,3,9,2,3,2,5,3,21,32,18,12,7,-,-,43.9,49
S00111342,69,2,-,2,10,1,5,1,1,2,11,20,3,5,6,-,-,40.4,44
S00111343,153,24,8,6,7,2,2,3,8,15,54,19,3,2,-,-,-,27.5,30
S00111344,99,5,1,3,7,2,2,2,3,3,15,38,7,4,4,3,-,42.7,46
S00111345,53,4,-,1,1,-,-,-,3,3,4,13,10,9,3,1,1,50.7,58
S00111346,181,18,11,4,9,1,5,3,8,12,54,40,12,4,-,-,-,32.9,34
S00111347,151,14,8,8,13,3,6,7,5,2,56,24,3,1,1,-,-,28.2,31
S00111348,62,9,3,2,4,1,1,2,1,2,27,10,-,-,-,-,-,28.0,33
S00111349,140,4,8,5,10,2,-,3,4,3,21,29,18,17,11,4,1,45.8,50
S00111350,189,23,6,2,12,3,2,-,8,37,58,32,3,3,-,-,-,29.5,30
S00111351,90,7,2,1,7,-,2,1,7,8,13,23,5,11,3,-,-,39.4,40
S00111352,136,17,8,3,6,3,3,-,7,28,41,16,3,1,-,-,-,27.4,28
S00111353,54,2,1,-,3,1,1,1,3,-,10,18,4,7,1,2,-,44.8,48
S00111354,84,2,-,1,2,1,4,2,7,2,9,32,7,7,7,1,-,47.3,52
S00111355,163,10,7,5,13,1,2,2,8,15,18,49,18,8,5,2,-,39.2,45
S00111356,140,10,3,3,14,1,2,1,5,4,19,27,11,22,15,3,-,44.8,47
S00111357,77,2,3,2,4,1,2,2,3,4,13,19,14,2,4,2,-,42.7,46
S00111358,118,2,4,1,2,-,1,-,8,-,14,34,13,22,12,2,3,53.4,56
S00111359,101,3,4,1,6,3,1,1,2,2,16,30,7,17,8,-,-,46.5,50
S00111360,67,2,2,-,2,1,2,1,3,3,15,17,6,7,6,-,-,45.5,47
S00111361,127,5,-,1,9,3,7,1,4,4,29,28,8,18,7,2,1,44.2,45
S00111362,79,6,2,2,5,1,1,3,4,3,20,15,10,5,2,-,-,37.8,41
S00111363,106,7,5,2,4,2,1,4,6,5,16,24,6,18,5,1,-,41.9,45
S00111364,105,3,2,1,10,1,4,5,6,9,15,21,10,13,3,1,1,40.8,42
S00111365,59,4,2,1,1,1,2,2,4,1,9,23,3,4,2,-,-,41.1,47
S00111366,89,11,8,4,2,1,2,4,7,7,22,12,6,2,1,-,-,29.5,29
S00111367,87,1,1,3,2,3,1,4,12,2,18,25,9,4,1,1,-,39.7,39
S00111368,63,2,2,1,-,1,3,4,2,8,9,16,4,7,4,-,-,41.3,42
S00111369,107,5,5,2,1,-,-,2,8,5,13,31,14,16,4,-,1,46.5,53
S00111370,102,6,6,5,3,2,2,2,2,-,20,18,8,11,10,3,4,44.8,47
S00111371,90,6,5,2,3,-,2,3,7,12,14,19,4,8,4,-,1,37.3,38
S00111372,74,2,1,2,6,2,1,4,2,2,16,14,7,6,7,2,-,43.7,44
S00111373,103,2,-,1,4,-,3,5,3,3,18,24,16,16,4,2,2,49.2,55
S00111374,69,3,1,1,6,-,-,1,2,2,13,13,4,19,3,-,1,46.8,50
S00111375,121,2,6,1,8,5,2,5,7,5,22,28,11,11,4,1,3,41.7,43
S00111376,67,5,3,1,5,-,6,2,7,-,22,13,-,2,1,-,-,30.8,34
S00111377,95,3,-,-,5,1,2,2,3,5,16,18,5,19,14,1,1,49.8,53
S00111378,98,2,4,-,7,2,3,2,3,3,16,34,6,12,4,-,-,43.8,49
S00111379,72,4,2,2,1,-,-,2,3,1,12,19,9,12,2,1,2,48.1,51
S00111380,66,12,2,1,2,1,1,4,10,11,10,7,-,1,3,1,-,27.4,24
S00111381,148,1,3,3,14,1,1,4,5,5,22,52,12,15,10,-,-,45.3,51
S00111382,101,7,-,1,4,4,2,5,7,4,14,19,13,9,6,6,-,43.8,45
S00111383,69,2,-,1,-,-,-,-,4,1,8,24,11,12,6,-,-,53.2,56
S00111384,96,6,5,3,10,1,6,2,5,2,29,20,-,2,4,1,-,32.9,34
S00111385,104,2,3,1,3,1,4,1,10,3,13,16,9,22,14,1,1,50.1,54
S00111386,99,3,-,3,3,3,1,2,4,9,14,22,7,18,7,3,-,46.8,49
S00111387,138,10,5,7,12,1,2,3,9,11,35,31,4,8,-,-,-,33.2,36
S00111388,128,7,3,2,6,-,5,4,11,3,24,44,6,10,2,1,-,39.3,44
S00111389,128,17,10,4,9,-,1,-,4,22,35,9,3,2,12,-,-,30.4,29
S00111390,190,21,11,4,17,2,3,2,6,13,77,26,4,2,2,-,-,29.2,32
S00111391,82,14,4,-,4,2,2,3,9,2,9,13,7,8,4,-,1,34.6,31
S00111392,104,-,-,-,-,-,2,-,2,3,19,20,11,24,15,6,2,59.1,63
S00111393,106,4,2,3,3,2,7,1,10,11,20,24,4,11,3,1,-,38.7,40
S00111394,139,7,11,3,15,2,4,1,8,3,35,36,4,6,4,-,-,34.4,37
S00111395,130,5,3,3,6,2,7,1,10,5,13,39,8,15,11,2,-,43.9,47
