,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00111957,97,4,2,2,10,15,4,11,19,27,4,1,3,3
S00111958,49,1,-,1,7,9,4,4,12,7,5,3,2,-
S00111959,65,-,-,-,6,6,2,12,16,17,2,2,-,4
S00111960,76,-,-,-,6,5,2,4,24,23,12,8,4,-
S00111961,60,-,-,-,2,3,3,11,20,11,9,4,5,1
S00111962,50,1,-,1,9,3,2,6,15,5,3,1,2,6
S00111963,92,3,1,2,11,7,3,4,28,20,13,11,2,3
S00111964,93,1,-,1,3,9,-,9,25,23,13,11,2,10
S00111965,70,-,-,-,2,4,4,6,19,14,15,10,5,6
S00111966,111,2,-,2,8,10,1,16,29,25,14,12,2,6
S00111967,111,5,1,4,20,17,5,14,25,8,3,3,-,14
S00111968,68,2,1,1,14,5,2,7,19,13,5,2,3,1
S00111969,52,3,1,2,8,4,3,4,11,9,7,5,2,3
S00111970,125,1,-,1,16,7,7,11,36,25,14,8,6,8
S00111971,70,1,1,-,9,7,-,9,16,14,9,5,4,5
S00111972,103,2,-,2,25,13,2,10,26,17,2,2,-,6
S00111973,130,8,4,4,49,19,6,10,19,4,2,2,-,13
S00111974,105,9,2,7,24,16,12,7,14,16,1,-,1,6
S00111975,58,1,-,1,9,5,2,8,14,8,6,5,1,5
S00111976,92,7,4,3,24,21,6,5,14,10,2,2,-,3
S00111977,86,7,1,6,30,11,8,8,9,5,2,-,2,6
S00111978,90,2,-,2,11,6,7,9,21,17,12,4,8,5
S00111979,58,2,1,1,5,6,3,5,10,12,10,4,6,5
S00111980,88,2,2,-,8,4,2,7,21,19,11,8,3,14
S00111981,86,6,2,4,12,11,1,6,26,18,4,2,2,2
S00111982,110,1,-,1,11,10,4,9,37,25,5,2,3,8
S00111983,124,9,5,4,28,22,10,12,20,10,1,-,1,12
S00111984,47,7,4,3,17,7,2,2,4,-,3,3,-,5
S00111985,117,4,2,2,24,10,5,12,31,16,7,3,4,8
S00111986,60,2,1,1,7,6,2,9,14,10,4,1,3,6
S00111987,99,17,4,13,19,23,4,14,12,4,2,2,-,4
S00111988,165,16,5,11,43,27,11,17,21,12,4,2,2,14
S00111989,101,13,3,10,23,23,10,10,8,4,2,-,2,8
S00111990,85,15,6,9,26,14,4,6,9,4,4,4,-,3
S00111991,132,6,2,4,31,27,8,18,18,17,4,3,1,3
S00111992,74,8,3,5,24,8,7,5,13,5,2,-,2,2
S00111993,59,8,1,7,10,10,6,5,5,2,6,5,1,7
S00111994,58,4,2,2,17,9,2,6,8,8,1,1,-,3
S00111995,129,8,2,6,33,10,15,8,19,12,9,8,1,15
S00111996,84,6,1,5,7,6,2,7,24,10,13,12,1,9
S00111997,101,1,1,-,15,12,5,11,28,9,11,3,8,9
S00111998,74,5,2,3,8,16,5,5,12,15,3,2,1,5
S00111999,38,-,-,-,5,4,3,4,7,11,4,3,1,-
S00112000,57,2,1,1,11,7,3,3,13,9,3,1,2,6
S00112001,111,5,2,3,14,15,8,11,18,12,20,17,3,8
S00112002,134,6,1,5,13,15,15,20,32,17,10,6,4,6
S00112003,96,11,3,8,26,18,6,10,7,8,3,3,-,7
S00112004,99,11,5,6,32,20,9,7,8,3,1,1,-,8
S00112005,89,17,8,9,29,12,7,8,4,2,3,3,-,7
S00112006,44,1,-,1,2,1,1,9,15,7,6,3,3,2
S00112007,84,5,2,3,9,12,9,10,23,11,3,2,1,2
S00112008,85,4,-,4,8,17,10,10,14,11,9,4,5,2
S00112009,96,6,1,5,25,13,11,9,14,7,3,1,2,8
S00112010,41,3,2,1,10,2,4,8,7,4,-,-,-,3
S00112011,59,4,-,4,11,10,3,4,11,10,2,1,1,4
S00112012,127,9,3,6,41,15,12,17,15,5,2,2,-,11
S00112013,73,6,2,4,20,10,8,7,6,5,9,8,1,2
S00112014,103,6,1,5,24,10,12,10,17,11,5,3,2,8
S00112015,61,4,3,1,17,11,2,7,9,6,1,1,-,4
S00112016,140,15,3,12,39,19,11,15,23,8,1,1,-,9
S00112017,68,8,2,6,14,10,4,9,8,7,1,-,1,7
S00112018,96,6,4,2,8,5,1,16,15,17,24,12,12,4
S00112019,49,-,-,-,6,3,-,5,14,14,3,1,2,4
S00112020,90,1,-,1,6,16,4,5,23,21,7,7,-,7
S00112021,108,15,4,11,21,18,8,7,19,10,1,1,-,9
S00112022,71,3,-,3,17,6,9,6,12,6,3,2,1,9
S00112023,75,4,-,4,17,6,4,14,14,10,2,-,2,4
S00112024,80,5,2,3,14,13,7,9,14,7,4,-,4,7
S00112025,83,3,-,3,12,11,10,11,18,10,4,1,3,4
S00112026,81,20,-,20,22,9,16,3,4,6,-,-,-,1
S00112027,50,3,1,2,19,4,8,4,3,1,-,-,-,8
S00112028,79,13,4,9,23,8,7,9,9,6,-,-,-,4
S00112029,93,11,3,8,27,11,12,9,10,7,3,3,-,3
S00112030,44,8,4,4,13,4,5,3,4,4,1,1,-,2
S00112031,95,12,5,7,28,14,7,7,10,9,-,-,-,8
S00112032,64,1,-,1,7,9,3,8,15,11,4,1,3,6
S00112033,57,8,-,8,12,5,14,5,9,3,-,-,-,1
S00112034,67,5,-,5,9,2,11,10,8,13,4,1,3,5
S00112035,55,10,1,9,8,9,12,2,5,6,1,1,-,2
S00112036,41,4,1,3,7,3,9,-,6,6,-,-,-,6
S00112037,96,5,1,4,15,14,11,7,24,14,3,3,-,3
S00112038,108,14,5,9,16,8,17,9,18,11,3,3,-,12
S00112039,91,7,1,6,16,4,8,17,19,12,2,2,-,6
S00112040,77,10,1,9,14,1,22,6,10,10,1,1,-,3
S00112041,78,1,1,-,13,11,11,7,17,10,4,3,1,4
S00112042,63,7,5,2,20,9,7,4,6,5,1,-,1,4
S00112043,107,13,4,9,37,12,10,7,8,6,3,1,2,11
S00112044,59,16,5,11,16,4,3,2,9,4,-,-,-,5
S00112045,75,9,5,4,19,5,4,6,14,7,7,5,2,4
S00112046,67,7,3,4,11,7,8,3,11,11,7,3,4,2
S00112047,83,7,2,5,23,10,9,6,12,10,1,-,1,5
S00112048,90,10,4,6,22,10,7,8,15,15,2,2,-,1
S00112049,97,5,2,3,15,10,8,14,15,22,3,2,1,5
S00112050,82,14,1,13,20,8,11,1,13,6,2,-,2,7
S00112051,58,7,3,4,16,4,7,6,4,8,-,-,-,6
S00112052,75,6,1,5,22,12,4,4,10,10,2,-,2,5
S00112053,88,11,4,7,24,7,7,7,8,12,2,1,1,10
S00112054,138,14,4,10,37,15,13,15,18,15,2,1,1,9
S00112055,64,5,1,4,21,7,3,6,6,6,3,1,2,7
S00112056,79,5,2,3,12,11,3,10,18,10,4,3,1,6
S00112057,64,6,1,5,12,6,6,9,16,4,1,1,-,4
S00112058,62,16,-,16,15,7,4,3,3,5,4,2,2,5
S00112059,80,6,-,6,13,15,2,5,11,11,11,7,4,6
S00112060,39,2,1,1,9,3,2,3,9,8,-,-,-,3
S00112061,105,7,1,6,24,17,6,12,17,11,1,-,1,10
S00112062,37,3,1,2,14,9,4,2,3,1,1,-,1,-
S00112063,44,6,1,5,10,5,1,4,10,3,2,2,-,3
S00112064,124,3,-,3,16,20,15,11,21,25,7,6,1,6
S00112065,52,3,-,3,19,4,5,5,8,5,1,1,-,2
S00112066,56,2,1,1,12,7,4,2,13,8,1,-,1,7
S00112067,51,7,1,6,18,6,3,4,5,2,2,1,1,4
S00112068,115,18,2,16,32,19,11,4,16,5,2,2,-,8
S00112069,80,8,1,7,22,14,6,5,10,6,3,2,1,6
S00112070,78,4,-,4,19,10,3,11,15,9,3,-,3,4
S00112071,39,2,-,2,7,2,5,2,6,10,2,1,1,3
S00112072,104,22,4,18,29,16,3,8,14,5,1,-,1,6
S00112073,37,7,1,6,11,3,1,1,6,3,1,1,-,4
S00112074,91,12,3,9,27,11,5,3,16,10,-,-,-,7
S00112075,140,20,3,17,30,21,11,9,21,14,2,2,-,12
S00112076,65,13,2,11,18,19,1,5,5,3,1,1,-,-
S00112077,52,9,2,7,19,6,2,2,8,2,2,2,-,2
S00112078,78,17,2,15,23,8,5,5,7,5,2,2,-,6
S00112079,76,18,6,12,20,12,6,4,5,3,1,1,-,7
S00112080,57,17,1,16,16,7,3,3,4,-,1,1,-,6
S00112081,65,12,2,10,15,10,4,5,6,3,1,-,1,9
S00112082,137,-,-,-,5,-,-,3,3,5,2,1,1,119
S00112083,61,8,-,8,6,3,3,4,3,3,1,-,1,30
S00112084,95,4,-,4,5,11,8,11,10,10,4,4,-,32
S00112085,43,1,-,1,2,2,4,4,7,6,1,-,1,16
S00112086,101,5,-,5,12,4,5,5,7,12,24,24,-,27
S00112087,46,8,-,8,4,1,2,4,5,6,5,3,2,11
S00112088,71,7,-,7,15,5,2,2,15,6,-,-,-,19
S00112089,78,2,-,2,8,6,5,9,21,12,5,3,2,10
S00112090,64,19,4,15,20,7,6,3,2,1,-,-,-,6
S00112091,57,17,5,12,15,11,3,-,4,1,1,1,-,5
S00112092,79,14,1,13,28,11,9,2,6,1,-,-,-,8
S00112093,158,5,2,3,2,1,5,-,4,1,-,-,-,140
S00112094,48,1,-,1,3,2,1,3,1,-,2,1,1,35
S00112095,102,2,-,2,3,2,3,1,-,3,-,-,-,88
S00112096,157,4,-,4,6,2,1,5,3,3,1,-,1,132
S00112097,123,2,-,2,3,3,1,-,2,4,2,2,-,106
S00112098,87,4,-,4,6,2,3,1,3,2,1,1,-,65
S00112099,107,3,-,3,33,8,10,7,18,13,8,5,3,7
S00112100,97,4,2,2,22,11,11,10,17,15,1,1,-,6
S00112101,75,4,-,4,21,13,7,6,6,13,1,1,-,4
S00112102,82,6,2,4,23,12,7,10,10,6,2,1,1,6
S00112103,52,3,-,3,12,8,3,5,11,7,-,-,-,3
S00112104,128,16,4,12,38,14,7,11,23,10,3,1,2,6
S00112105,67,12,3,9,18,11,7,8,3,4,2,1,1,2
S00112106,54,11,1,10,17,9,6,1,3,5,1,1,-,1
S00112107,66,17,1,16,24,11,5,2,2,1,-,-,-,4
S00112108,76,13,2,11,23,9,10,2,9,3,3,1,2,4
S00112109,52,10,1,9,8,6,1,5,11,4,1,1,-,6
S00112110,60,6,1,5,11,9,7,2,14,5,1,1,-,5
S00112111,66,17,2,15,20,11,3,3,2,1,2,-,2,7
S00112112,97,4,1,3,13,19,4,11,24,15,4,2,2,3
S00112113,107,14,3,11,13,27,5,10,10,14,7,3,4,7
S00112114,90,10,1,9,26,7,11,5,8,11,1,-,1,11
S00112115,59,5,-,5,13,3,6,9,18,5,-,-,-,-
S00112116,64,5,2,3,10,11,7,5,11,10,3,2,1,2
S00112117,119,15,1,14,36,17,11,7,14,6,2,2,-,11
S00112118,59,3,-,3,15,7,-,3,12,8,4,4,-,7
S00112119,102,4,1,3,20,17,13,13,13,5,4,1,3,13
S00112120,129,7,3,4,24,26,8,22,18,13,3,2,1,8
S00112121,79,9,2,7,24,10,3,5,11,7,4,2,2,6
S00112122,74,8,1,7,19,12,3,3,11,11,6,3,3,1
S00112123,75,11,2,9,18,10,3,8,13,7,1,1,-,4
S00112124,102,20,2,18,37,11,8,4,4,8,1,-,1,9
S00112125,56,13,1,12,18,8,5,1,4,2,-,-,-,5
S00112126,104,-,-,-,13,16,5,12,28,16,10,5,5,4
S00112127,120,4,1,3,19,9,6,11,21,35,10,3,7,5
S00112128,97,3,-,3,11,10,7,8,23,19,11,7,4,5
S00112129,107,1,-,1,18,15,10,12,12,16,9,6,3,14
S00112130,73,1,-,1,2,12,2,7,15,14,13,5,8,7
S00112131,57,1,-,1,6,4,3,4,20,10,5,4,1,4
S00112132,101,2,-,2,17,10,7,10,21,15,11,5,6,8
S00112133,72,5,4,1,17,11,1,9,9,12,2,1,1,6
S00112134,96,13,4,9,30,12,6,10,12,7,1,1,-,5
S00112135,91,11,1,10,26,10,5,6,13,11,3,2,1,6
S00112136,62,7,1,6,17,9,7,3,8,4,3,-,3,4
S00112137,147,12,6,6,44,28,11,12,21,5,5,4,1,9
S00112138,124,25,5,20,43,23,8,3,14,3,2,1,1,3
S00112139,59,10,4,6,21,9,2,4,6,5,-,-,-,2
S00112140,119,18,1,17,33,20,11,8,18,4,-,-,-,7
S00112141,99,12,5,7,36,24,3,2,9,6,-,-,-,7
S00112142,92,14,1,13,30,14,6,11,8,3,-,-,-,6
S00112143,127,14,2,12,31,30,10,6,15,7,2,2,-,12
S00112144,132,20,5,15,51,15,12,9,13,5,1,1,-,6
S00112145,115,20,5,15,40,19,10,4,10,5,-,-,-,7
S00112146,136,27,4,23,39,32,8,7,12,3,2,1,1,6
S00112147,132,22,1,21,35,26,9,8,13,7,5,3,2,7
S00112148,68,14,5,9,24,10,6,6,4,3,-,-,-,1
S00112149,69,20,5,15,28,7,5,2,3,1,1,1,-,2
S00112150,89,30,3,27,26,9,6,3,3,5,-,-,-,7
S00112151,40,11,4,7,9,5,6,1,4,1,1,-,1,2
S00112152,147,13,4,9,41,16,14,11,11,13,8,6,2,20
S00112153,152,21,5,16,47,18,11,8,8,11,7,4,3,21
S00112154,38,-,-,-,6,3,1,1,12,7,4,4,-,4
S00112155,142,26,4,22,36,11,10,5,20,11,12,10,2,11
S00112156,99,8,2,6,21,17,9,13,12,10,4,4,-,5
S00112157,97,6,1,5,20,12,9,9,17,7,3,1,2,14
S00112158,142,26,6,20,48,13,15,9,10,12,5,1,4,4
S00112159,98,6,1,5,28,19,5,4,16,14,3,2,1,3
S00112160,253,11,1,10,22,5,2,3,6,1,4,3,1,199
S00112161,90,25,1,24,15,9,5,2,4,1,1,-,1,28
S00112162,66,20,2,18,14,9,1,2,-,2,-,-,-,18
S00112163,98,19,-,19,16,6,1,4,-,2,1,-,1,49
S00112164,96,19,2,17,22,7,2,5,-,2,2,2,-,37
S00112165,79,18,2,16,18,4,5,1,4,5,1,-,1,23
S00112166,162,23,3,20,16,12,2,2,2,-,1,1,-,104
S00112167,65,15,1,14,14,2,2,3,4,1,2,-,2,22
S00112168,94,22,5,17,30,4,6,2,4,2,1,-,1,23
S00112169,97,23,1,22,19,12,2,3,6,3,3,1,2,26
S00112170,105,14,-,14,25,8,2,4,4,9,5,2,3,34
S00112171,131,25,1,24,43,6,4,2,4,2,3,1,2,42
S00112172,71,3,-,3,7,9,3,4,6,13,12,9,3,14
S00112173,70,2,-,2,3,9,2,1,15,12,8,4,4,18
S00112174,86,4,-,4,7,7,2,8,11,13,9,7,2,25
S00112175,106,27,5,22,27,6,2,5,3,1,2,2,-,33
S00112176,97,13,4,9,19,7,6,-,2,-,-,-,-,50
S00112177,53,7,-,7,12,11,1,2,2,-,-,-,-,18
S00112178,54,16,1,15,9,1,-,2,3,1,1,1,-,21
S00112179,73,16,2,14,8,4,4,3,4,1,2,1,1,31
S00112180,139,10,-,10,22,7,5,6,5,5,1,1,-,78
S00112181,68,11,1,10,10,5,-,2,8,1,1,-,1,30
S00112182,95,17,1,16,15,7,9,5,7,10,2,1,1,23
S00112183,125,16,1,15,26,7,1,7,9,5,7,3,4,47
S00112184,123,13,-,13,20,3,4,6,1,4,2,1,1,70
S00112185,57,3,-,3,6,2,4,5,9,9,12,9,3,7
S00112186,58,2,1,1,5,5,1,2,15,11,12,5,7,5
S00112187,65,11,-,11,23,7,5,3,1,1,1,1,-,13
S00112188,82,26,6,20,23,12,3,1,-,1,1,1,-,15
S00112189,120,42,8,34,38,3,15,3,4,1,2,-,2,12
S00112190,109,41,5,36,29,9,11,5,3,3,-,-,-,8
S00112191,118,32,2,30,39,6,11,4,4,1,8,5,3,13
S00112192,129,12,2,10,22,7,5,7,10,5,5,5,-,56
S00112193,109,9,1,8,16,9,2,10,8,8,14,13,1,33
S00112194,75,9,1,8,11,4,2,5,9,6,6,5,1,23
S00112195,74,8,2,6,20,7,-,5,6,3,7,5,2,18
S00112196,112,11,-,11,18,10,8,3,14,5,7,4,3,36
S00112197,75,8,-,8,11,7,-,2,6,4,6,4,2,31
S00112198,79,8,-,8,14,7,3,4,4,7,6,4,2,26
S00112199,106,12,2,10,21,10,5,7,10,5,6,5,1,30
S00112200,94,11,1,10,17,6,7,5,6,6,13,12,1,23
S00112201,113,6,-,6,19,8,-,4,5,5,3,2,1,63
S00112202,34,1,-,1,1,3,-,2,7,17,2,2,-,1
S00112203,97,4,3,1,21,7,2,2,8,8,5,4,1,40
S00112204,152,12,-,12,22,6,7,8,3,4,4,3,1,86
S00112205,90,6,-,6,10,1,4,3,8,5,12,11,1,41
S00112206,70,4,-,4,14,3,2,2,3,5,5,3,2,32
S00112207,67,2,-,2,12,2,1,4,-,4,2,2,-,40
S00112208,107,13,2,11,13,9,5,11,11,3,15,13,2,27
S00112209,66,10,-,10,7,7,4,5,3,2,5,4,1,23
S00112210,77,14,2,12,10,2,3,4,2,2,3,1,2,37
S00112211,101,6,1,5,12,4,3,2,4,3,12,12,-,55
S00112212,67,5,-,5,4,10,2,12,9,9,11,9,2,5
S00112213,156,15,-,15,16,8,5,3,8,6,5,3,2,90
S00112214,107,15,1,14,20,5,7,6,5,2,1,1,-,46
S00112215,108,6,-,6,18,5,-,6,3,2,3,2,1,65
S00112216,120,7,1,6,12,7,4,1,2,2,-,-,-,85
S00112217,119,9,1,8,19,9,9,8,9,2,3,2,1,51
S00112218,83,28,1,27,13,7,6,2,3,-,1,1,-,23
S00112219,91,16,2,14,24,6,7,3,5,3,5,2,3,22
S00112220,98,23,3,20,21,9,1,1,1,2,1,1,-,39
S00112221,95,28,3,25,19,7,6,1,4,3,-,-,-,27
S00112222,47,6,-,6,15,4,1,1,1,1,1,-,1,17
S00112223,92,14,3,11,18,5,7,2,11,2,7,5,2,26
S00112224,135,25,1,24,27,21,5,5,12,4,2,1,1,34
S00112225,120,14,4,10,19,13,3,3,6,3,6,5,1,53
S00112226,118,9,-,9,21,2,3,1,7,7,8,7,1,60
S00112227,83,12,-,12,18,10,4,3,4,4,3,1,2,25
S00112228,55,4,-,4,8,9,3,3,5,7,3,2,1,13
S00112229,64,18,2,16,20,3,2,4,3,3,-,-,-,11
S00112230,49,14,2,12,13,1,5,4,1,-,3,2,1,8
S00112231,84,10,1,9,16,7,2,8,11,3,7,2,5,20
S00112232,72,15,1,14,14,8,-,6,5,7,4,3,1,13
S00112233,48,-,-,-,13,5,1,4,5,6,6,6,-,8
S00112234,79,9,1,8,14,5,6,10,8,10,3,2,1,14
S00112235,65,2,-,2,11,9,4,6,6,9,2,1,1,16
S00112236,64,7,1,6,9,4,2,4,4,3,2,1,1,29
S00112237,78,5,-,5,6,8,-,5,20,11,6,5,1,17
S00112238,71,11,2,9,10,4,2,4,5,2,2,1,1,31
S00112239,93,8,-,8,11,4,8,9,3,4,3,1,2,43
S00112240,95,32,-,32,21,9,4,1,4,-,3,2,1,21
S00112241,54,4,1,3,10,6,-,4,7,10,6,5,1,7
S00112242,75,19,-,19,16,7,1,3,4,2,1,-,1,22
S00112243,111,22,2,20,32,15,4,2,3,5,5,2,3,23
S00112244,104,14,1,13,21,13,7,5,9,7,3,1,2,25
S00112245,92,7,-,7,19,10,3,3,7,20,9,6,3,14
S00112246,74,20,-,20,19,4,-,2,9,10,1,-,1,9
S00112247,142,17,-,17,26,7,5,5,18,15,2,1,1,47
S00112248,84,5,-,5,14,7,4,4,14,11,4,3,1,21
S00112249,57,8,-,8,10,6,-,4,7,3,6,5,1,13
S00112250,62,7,-,7,11,9,1,7,6,6,6,5,1,9
S00112251,47,3,-,3,8,3,1,6,4,6,3,2,1,13
S00112252,58,11,-,11,12,5,4,5,5,5,5,2,3,6
S00112253,109,1,-,1,22,2,2,3,13,7,9,6,3,50
S00112254,135,23,-,23,36,11,3,8,6,2,3,2,1,43
S00112255,64,8,2,6,14,3,1,7,3,3,4,4,-,21
S00112256,89,13,1,12,28,4,8,4,8,5,6,1,5,13
S00112257,106,3,-,3,12,1,3,5,5,7,5,4,1,65
S00112258,131,27,3,24,33,13,1,2,4,1,3,3,-,47
S00112259,84,10,-,10,14,10,3,6,2,4,-,-,-,35
S00112260,99,2,-,2,13,3,9,5,3,2,9,4,5,53
S00112261,107,7,1,6,10,12,4,8,19,13,8,8,-,26
S00112262,54,5,-,5,5,5,4,4,10,4,1,1,-,16
S00112263,69,4,2,2,4,1,2,6,15,9,20,17,3,8
S00112264,27,1,-,1,3,2,1,3,4,3,5,4,1,5
S00112265,92,7,1,6,12,5,5,8,20,9,9,8,1,17
S00112266,89,4,1,3,15,11,5,6,5,9,4,3,1,30
S00112267,62,6,-,6,23,6,-,4,10,7,-,-,-,6
S00112268,85,11,1,10,17,9,2,3,1,6,4,4,-,32
S00112269,78,-,-,-,14,7,3,5,8,16,20,15,5,5
S00112270,146,30,-,30,25,13,2,2,15,-,7,7,-,52
S00112271,136,17,-,17,26,15,2,5,8,6,7,5,2,50
S00112272,127,21,1,20,37,11,5,3,4,-,1,1,-,45
S00112273,165,28,2,26,43,8,6,6,7,-,3,3,-,64
S00112274,125,4,-,4,10,12,5,13,28,17,25,19,6,11
S00112275,50,-,-,-,8,7,-,3,9,16,3,3,-,4
S00112276,57,2,-,2,8,6,2,5,12,11,4,1,3,7
S00112277,60,-,-,-,3,7,1,2,8,23,7,4,3,9
S00112278,82,1,-,1,12,12,5,9,15,15,12,10,2,1
S00112279,100,7,-,7,16,13,3,6,11,10,12,10,2,22
S00112280,114,10,1,9,28,5,4,4,12,4,7,4,3,40
S00112281,69,7,-,7,8,4,1,6,2,4,-,-,-,37
S00112282,65,6,1,5,14,6,1,3,6,8,4,2,2,17
S00112283,69,6,-,6,10,5,1,5,6,5,-,-,-,31
S00112284,108,3,-,3,10,11,2,7,17,6,13,10,3,39
S00112285,98,15,1,14,12,7,-,5,4,1,1,1,-,53
S00112286,127,22,1,21,24,11,11,5,6,3,6,3,3,39
S00112287,77,11,-,11,6,8,4,5,4,5,2,2,-,32
S00112288,79,17,-,17,17,7,2,1,1,4,3,3,-,27
S00112289,119,19,1,18,23,2,2,1,5,2,8,6,2,57
S00112290,105,8,-,8,18,9,2,3,3,5,2,1,1,55
S00112291,88,6,-,6,22,9,2,1,3,5,1,1,-,39
S00112292,146,10,-,10,14,13,4,3,6,10,12,12,-,74
S00112293,137,23,2,21,14,6,3,2,8,2,8,6,2,71
S00112294,81,7,1,6,5,6,2,5,8,4,-,-,-,44
S00112295,110,6,-,6,15,2,3,8,5,2,5,4,1,64
S00112296,133,9,1,8,10,3,3,7,7,4,9,9,-,81
S00112297,106,10,1,9,13,9,6,3,8,2,11,9,2,44
S00112298,113,6,1,5,16,3,4,4,10,4,4,4,-,62
S00112299,167,16,-,16,17,6,5,5,8,11,5,5,-,94
S00112300,116,12,-,12,21,4,5,5,3,3,6,4,2,57
S00112301,103,8,1,7,13,7,1,2,8,6,1,1,-,57
S00112302,82,5,1,4,10,8,5,3,19,16,6,5,1,10
S00112303,79,9,-,9,11,7,5,5,11,5,7,4,3,19
S00112304,90,3,-,3,5,4,8,14,9,16,17,13,4,14
S00112305,83,10,1,9,21,12,2,5,8,7,-,-,-,18
S00112306,111,14,2,12,26,11,3,10,9,10,8,5,3,20
S00112307,52,-,-,-,8,3,2,7,9,7,9,5,4,7
S00112308,68,5,3,2,8,10,2,6,8,11,6,4,2,12
S00112309,47,3,-,3,6,5,3,3,9,7,10,6,4,1
S00112310,86,1,-,1,5,5,4,10,21,24,12,11,1,4
S00112311,81,13,2,11,15,8,2,3,2,5,3,1,2,30
S00112312,71,12,-,12,9,8,-,3,3,1,1,1,-,34
S00112313,73,15,2,13,14,9,1,9,2,2,3,1,2,18
S00112314,69,1,-,1,4,5,2,5,15,25,11,7,4,1
S00112315,42,-,-,-,3,1,1,5,10,15,2,2,-,5
S00112316,49,2,-,2,5,3,-,3,9,14,8,2,6,5
S00112317,53,1,1,-,6,3,1,7,9,12,6,4,2,8
S00112318,79,2,-,2,10,6,1,6,12,18,17,11,6,7
S00112319,79,1,1,-,13,8,7,3,11,11,9,6,3,16
S00112320,97,4,-,4,14,10,4,2,13,9,5,4,1,36
S00112321,67,3,1,2,7,9,3,2,10,5,3,3,-,25
S00112322,98,3,-,3,17,10,4,11,11,10,2,1,1,30
S00112323,172,3,-,3,7,10,-,-,14,20,8,7,1,110
S00112324,609,9,1,8,9,5,4,6,31,23,11,10,1,511
S00112325,111,2,1,1,6,5,1,3,11,14,10,8,2,59
S00112326,85,4,-,4,2,6,3,5,16,17,6,4,2,26
S00112327,76,2,1,1,5,3,3,6,12,15,15,7,8,15
S00112328,66,3,-,3,9,5,4,4,7,15,3,1,2,16
S00112329,56,2,-,2,2,11,2,2,11,15,7,6,1,4
S00112330,42,1,-,1,4,9,2,6,4,8,3,-,3,5
S00112331,55,2,-,2,7,6,-,3,11,10,5,3,2,11
S00112332,53,1,-,1,5,4,4,7,11,15,4,1,3,2
S00112333,53,2,-,2,5,7,2,2,11,13,6,3,3,5
S00112334,69,-,-,-,6,8,3,10,7,25,7,6,1,3
S00112335,114,7,-,7,17,9,8,9,19,29,9,6,3,7
S00112336,67,1,1,-,11,8,6,5,7,19,9,6,3,1
S00112337,65,3,1,2,5,8,3,7,12,20,5,4,1,2
S00112338,56,1,1,-,3,9,-,6,14,12,7,5,2,4
S00112339,84,5,-,5,10,6,1,7,13,30,7,4,3,5
S00112340,76,4,-,4,10,11,3,4,15,3,15,11,4,11
S00112341,76,3,-,3,3,9,6,14,9,23,6,4,2,3
S00112342,78,1,-,1,5,11,2,14,17,18,10,9,1,-
S00112343,52,-,-,-,6,5,4,8,10,10,9,8,1,-
S00112344,84,8,-,8,16,18,5,7,6,10,5,2,3,9
S00112345,53,-,-,-,5,1,3,7,13,13,9,6,3,2
S00112346,61,7,-,7,20,8,4,3,6,6,2,1,1,5
S00112347,68,2,-,2,4,14,-,5,11,15,11,7,4,6
S00112348,99,2,1,1,10,7,-,12,24,23,14,10,4,7
S00112349,46,-,-,-,9,3,2,6,5,16,3,2,1,2
S00112350,41,1,-,1,3,4,-,2,12,12,5,3,2,2
S00112351,115,3,1,2,16,12,4,8,21,32,10,6,4,9
S00112352,98,-,-,-,8,14,2,17,16,25,9,7,2,7
S00112353,87,6,2,4,9,9,4,6,18,18,9,8,1,8
S00112354,95,-,-,-,10,6,6,8,16,22,17,9,8,10
S00112355,60,-,-,-,4,4,2,2,14,22,10,8,2,2
S00112356,97,1,-,1,8,7,6,12,20,17,23,16,7,3
S00112357,95,2,-,2,9,6,4,8,17,24,20,14,6,5
S00112358,94,2,-,2,11,12,10,8,13,17,14,12,2,7
S00112359,108,3,2,1,10,7,4,2,33,29,16,10,6,4
S00112360,41,3,-,3,8,2,1,-,8,9,3,1,2,7
S00112361,56,17,3,14,15,2,3,2,6,6,1,1,-,4
S00112362,132,28,2,26,42,10,10,7,6,5,1,1,-,23
S00112363,92,35,3,32,31,4,3,4,3,2,2,1,1,8
S00112364,94,27,3,24,29,6,5,1,5,4,2,1,1,15
S00112365,65,17,3,14,18,10,3,2,5,1,3,3,-,6
S00112366,46,11,-,11,11,1,5,4,1,1,-,-,-,12
S00112367,139,33,2,31,44,6,10,1,2,2,2,-,2,39
S00112368,67,10,2,8,17,9,1,5,5,5,4,4,-,11
S00112369,55,20,2,18,17,5,4,-,4,4,1,-,1,-
S00112370,117,20,1,19,16,9,6,3,13,8,8,5,3,34
S00112371,61,7,-,7,19,10,3,3,5,5,3,1,2,6
S00112372,100,11,-,11,28,15,3,8,8,6,1,-,1,20
