,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
S00089122,45,3,-,3,1,7,3,4,10,11,4,3,1,2
S00089123,112,-,-,-,7,8,6,19,26,34,7,5,2,5
S00089124,73,-,-,-,4,8,4,6,15,27,6,6,-,3
S00089125,122,4,1,3,6,7,4,15,26,46,6,6,-,8
S00089126,82,2,-,2,9,10,3,4,18,28,4,3,1,4
S00089127,73,1,-,1,10,7,-,11,19,19,3,3,-,3
S00089128,74,2,2,-,3,9,6,14,15,13,5,2,3,7
S00089129,160,17,2,15,48,22,11,8,21,15,-,-,-,18
S00089130,70,5,1,4,15,11,4,9,8,13,1,1,-,4
S00089131,79,6,-,6,14,11,1,11,19,7,2,2,-,8
S00089132,73,10,-,10,17,14,4,8,6,11,1,-,1,2
S00089133,60,2,-,2,12,11,4,9,8,12,1,1,-,1
S00089134,100,2,1,1,11,13,10,7,20,28,3,1,2,6
S00089135,108,22,5,17,32,15,11,4,11,8,1,1,-,4
S00089136,89,8,3,5,24,12,15,7,16,1,2,2,-,4
S00089137,91,10,1,9,29,8,7,6,11,4,5,5,-,11
S00089138,12,1,-,1,3,2,2,-,4,-,-,-,-,-
S00089139,64,3,2,1,15,7,4,9,10,10,1,1,-,5
S00089140,77,6,-,6,9,12,3,9,21,11,-,-,-,6
S00089141,100,8,2,6,18,16,5,10,12,16,4,1,3,11
S00089142,115,3,1,2,12,15,10,13,23,18,5,4,1,16
S00089143,77,7,1,6,13,6,-,6,12,17,9,8,1,7
S00089144,76,4,-,4,13,14,3,9,14,11,3,1,2,5
S00089145,106,6,1,5,20,12,5,12,24,16,2,1,1,9
S00089146,82,5,-,5,17,10,4,6,17,11,3,2,1,9
S00089147,66,3,-,3,6,8,1,10,11,22,3,-,3,2
S00089148,85,4,2,2,11,14,1,10,13,20,5,4,1,7
S00089149,90,2,-,2,11,8,4,12,18,20,7,4,3,8
S00089150,103,1,-,1,15,13,7,10,31,15,5,3,2,6
S00089151,43,2,2,-,4,13,-,9,5,9,1,-,1,-
S00089152,48,2,-,2,5,3,3,7,14,9,5,2,3,-
