UKParliamentaryConstituency2005Code,All people,16 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 and over,Scotland,RUK,managerial_and_professional,Economically active: Unemployed,scaled_predicted_yes,scaled_predicted_no,constituency_name,yes_perc,no_perc
S14000011,95165.0,0.05072242946461409,0.06139862344349288,0.06311143802868702,0.21619292807229548,0.21272526664214786,0.05850890558503651,0.1437293122471497,0.9412283927914674,0.03206010613145589,0.24040144542939415,0.057817175766472814,27468.688548390863,23516.169372786517,"Coatbridge, Chryston and Bellshill",0.5387616964797171,0.461238303520283
S14000012,87012.0,0.05306164666942491,0.061520250080448674,0.058394244472026846,0.20113317703305292,0.21859053923596744,0.06520939640509354,0.15051946857904658,0.9262170735071025,0.04456856525536708,0.26957484091118694,0.05160011067047865,48364.17927361702,45372.591242032126,"Cumbernauld, Kilsyth and Kirkintilloch East",0.5159573879872758,0.48404261201272425
S14000013,97064.0,0.045269100799472516,0.05226448528805736,0.051028187587571085,0.16882675348223852,0.22183301739058767,0.07693892689359598,0.2179901920382428,0.7869446962828649,0.17642998434022913,0.24431188153554637,0.0434556811004281,21381.331860322498,38490.2141107815,Dumfries and Galloway,0.35712008957713975,0.6428799104228603
S14000014,86319.0,0.04448615021026657,0.04496113254324077,0.04241244685411091,0.17583614268005884,0.23140907563804028,0.07574230470695907,0.21140189297837092,0.7592766366616851,0.2028985507246377,0.28055533518445064,0.03992066640222134,40045.508798651885,79726.08913899989,"Dumfriesshire, Clydesdale and Tweeddale",0.3343489565823272,0.6656510434176728
S14000015,88016.0,0.04815033630249046,0.06305671696055262,0.06146609707325941,0.18412561352481366,0.20690556262497728,0.06995319032903108,0.18403472095982548,0.8679217415015452,0.07382748591165243,0.30081960814924674,0.04942627429552728,39204.04421961162,37993.36084397035,Dundee East,0.5078414771496795,0.49215852285032047
S14000016,89226.0,0.069676999977585,0.12444803084302782,0.08416829175352476,0.1715307197453657,0.18691861116714859,0.05468137090085849,0.16215004595073185,0.8171385022302916,0.0779257167193419,0.23159160377221827,0.05530848459387811,38881.34388419409,36574.90055098763,Dundee West,0.5152833165132392,0.4847166834867607
S14000017,98318.0,0.045251123904066395,0.05491364755182164,0.060222950019325046,0.21836286336174454,0.21428426127463943,0.06715962489066092,0.1517931609674729,0.8462539921479282,0.10951199170040074,0.3093683695119961,0.05123497089385779,38786.660359831585,46697.794791085034,Dunfermline and West Fife,0.4537276431294619,0.5462723568705381
S14000018,82115.0,0.05141569749741216,0.05383912805212202,0.03721609937283079,0.16893381233635754,0.23577909030018876,0.07081531997807952,0.20505388784022408,0.8832612799123181,0.06837971138038117,0.4373921348502874,0.029423099478896132,14001.538207927024,29780.340500719052,East Dunbartonshire,0.31980213323193896,0.6801978667680609
S14000019,100477.0,0.05303701344586323,0.05775451098261294,0.05393274082625875,0.19494013555341022,0.2308289459279238,0.05837156762244096,0.17087492660011744,0.9122087641947908,0.05372373777083313,0.3049139355826984,0.045323228658577554,23651.67904184264,28794.12508156603,"East Kilbride, Strathaven and Lesmahagow",0.4509737134774132,0.5490262865225868
S14000020,99717.0,0.05204729384157165,0.05307018863383375,0.04818636741979803,0.1954230472236429,0.22183780097676425,0.06449251381409389,0.17813411955835012,0.8369987063389392,0.10967036713900338,0.31232748794990456,0.0418697903077409,27467.000000000004,44283.0,East Lothian,0.382815331010453,0.617184668989547
S14000021,90574.0,0.05372402676264712,0.0561419391878464,0.03895157550731998,0.18041601342548635,0.23054077329034822,0.06284364166317044,0.1797425309691523,0.8930818998829686,0.05862609578907854,0.40728558633682327,0.034852836715154885,24287.0,41690.0,East Renfrewshire,0.36811313033329796,0.631886869666702
S14000022,95314.0,0.06846843066076337,0.137765700736513,0.10319575298487106,0.21284386344083767,0.17005896300648382,0.04575403403487421,0.13280315588475985,0.6762175546089767,0.13250939001615714,0.2782538378265576,0.04214109637281371,27500.0,30632.0,Edinburgh East,0.4730613087456134,0.5269386912543865
S14000023,106183.0,0.03631466430596235,0.09125754593484833,0.12894719493704265,0.2731416516768221,0.17151521429984085,0.04517672320427941,0.11748584990064323,0.6434269139127732,0.16318054679185934,0.427963774466842,0.042489044697633656,28813.0,43253.0,Edinburgh North and Leith,0.39981405933449893,0.600185940665501
S14000024,86184.0,0.04955676227606052,0.11827021256845818,0.0755708716235032,0.19049939663974752,0.19027893808595564,0.05793418732015223,0.15428617840898542,0.6802190661839784,0.16642300194931775,0.40471802432731296,0.031115616169062537,20340.0,38298.0,Edinburgh South,0.3468740407244449,0.6531259592755551
S14000025,99236.0,0.05402273368535612,0.10192873553952195,0.10183804264581402,0.2202930388165585,0.18004554798661776,0.05467773791769116,0.13469910113265346,0.7169777097021243,0.12423918739167238,0.3429592676404032,0.04287955153260646,24659.0,39509.0,Edinburgh South West,0.3842881186884428,0.6157118813115572
S14000026,89709.0,0.04494532321171789,0.05231359172435319,0.057708814054331224,0.19886521976613272,0.21835044421406993,0.06113099020165201,0.1860459931556477,0.8034645353309032,0.10675628978140432,0.39436532889464276,0.03527834288884779,22615.0,42946.0,Edinburgh West,0.34494592821952075,0.6550540717804793
S14000027,27684.0,0.04349082502528536,0.04435775176997544,0.04544141020083803,0.18306603092038723,0.2205244906805375,0.07852911428984251,0.21561190579396042,0.8508885999133073,0.11974425661031643,0.27750321241474746,0.041514282890184835,9195.0,10544.0,Na h-Eileanan an Iar,0.46582906935508384,0.5341709306449162
S14000028,108955.0,0.04695516497636639,0.054976825294846494,0.05909779266669726,0.21825524299022533,0.21302372539121656,0.06479739341930155,0.16068101509797622,0.9061998072598779,0.05850121609838924,0.28003052908880516,0.04932663662998252,29467.267905170083,35389.58705479927,Falkirk,0.45434315190518776,0.5456568480948123
S14000029,91257.0,0.07195064488203645,0.15733587560406326,0.13137622319383718,0.23239861051754934,0.14696954754155844,0.03538358701250315,0.10178945176808354,0.669592469618769,0.08374152119837382,0.24756191029944236,0.05666411184819092,20776.74819429885,18704.78653610668,Glasgow Central,0.52623962913727,0.47376037086273
S14000030,87402.0,0.05476991373195121,0.07043317086565525,0.06517013340655821,0.19866822269513285,0.21795839912130158,0.05545639687878996,0.15545410860163383,0.9198073270634539,0.026406718381730396,0.17538933640199464,0.07272727272727272,29821.97734896557,39812.88818441802,Glasgow East,0.4282621517330085,0.5717378482669915
S14000031,71636.0,0.06912725445306829,0.16054776927801664,0.11691049193143112,0.21521302138589535,0.164428499637054,0.04446088558825172,0.11106147746942878,0.716343737785471,0.11649170807973644,0.3228021746814563,0.04872834996886099,47140.279525084705,34189.774439283974,Glasgow North,0.5796169709384088,0.42038302906159114
S14000032,85854.0,0.050352924732685725,0.0803224078086053,0.08727607333379923,0.21662357024716378,0.19197707736389685,0.04711486942949659,0.1534581964730822,0.8522841102336525,0.0372609313485685,0.17222848495143384,0.07701097950800685,15037.63681839527,13983.367020895128,Glasgow North East,0.518163909893303,0.481836090106697
S14000033,85882.0,0.04799608765515475,0.07392701613842248,0.08661884911855802,0.22169954123099136,0.1975384830348618,0.04891595444912787,0.14969376586479122,0.8436692205584406,0.057800237535222745,0.2983340333193336,0.06713643504907679,27061.620382454046,25936.352519171513,Glasgow North West,0.5106161405962757,0.4893838594037243
S14000034,87852.0,0.044609115330328276,0.0652233301461549,0.09100532714110095,0.2314346856076128,0.20450302781951463,0.054273095660884216,0.14462960433456268,0.849531029458635,0.05583253653872422,0.33229813664596275,0.057802609290023475,41540.476528080704,39294.81750435003,Glasgow South,0.5138903374485762,0.4861096625514238
S14000035,83979.0,0.052775098536538896,0.06756451017516284,0.07236332892746997,0.20857595351218758,0.20900463211040857,0.04870265185343955,0.15010895581038117,0.8777194298574643,0.03556841591350218,0.19417743268872284,0.0717284530968861,17482.293836794786,16547.711778255834,Glasgow South West,0.5137317352972403,0.4862682647027597
S14000036,89315.0,0.04923025247718748,0.05758271287017858,0.05789621004310586,0.1953759166993226,0.21535016514583216,0.06842075799137882,0.17037451715837204,0.8920785982197839,0.07274254044673348,0.208976220729715,0.06342651418890301,30144.90103341128,28914.995670687218,Glenrothes,0.5104123561956612,0.4895876438043388
S14000037,99880.0,0.047617140568682416,0.05065078093712455,0.05635762915498598,0.21235482579094914,0.2274529435322387,0.07139567480977173,0.1538045654785743,0.8310973167801362,0.11361633960752904,0.3518363105942533,0.020967376680120955,56584.61772835321,81334.81146588465,Gordon,0.4102729982203063,0.5897270017796936
S14000038,81485.0,0.050033748542676566,0.061348714487328954,0.057998404614346195,0.18748235871632815,0.2272565502853286,0.06602442167270049,0.18133398785052462,0.928747622261766,0.04511259741056636,0.25134251884453057,0.05182861741086824,27243.0,27329.0,Inverclyde,0.49921205013560066,0.5007879498643993
S14000039,101936.0,0.04522445455972375,0.05417124470255847,0.06430505415162455,0.20344137498037984,0.217087191963585,0.06535473238110187,0.16897857479202638,0.7755552503531628,0.15240935488934232,0.30936042814752013,0.0379530521407376,25439.687358917672,29280.51048734122,"Inverness, Nairn, Badenoch and Strathspey",0.46490488631624954,0.5350951136837505
S14000040,96810.0,0.05010845986984815,0.06157421753951038,0.05786592294184485,0.19927693420101228,0.21586612953207313,0.06731742588575561,0.17144923045139965,0.9140997830802603,0.060809833694866235,0.2507603406326034,0.058767418712674185,24400.866354118894,27761.862255802916,Kilmarnock and Loudoun,0.46778354975620723,0.5322164502437927
S14000041,96959.0,0.045184046865169816,0.05554925277694696,0.059489062387194584,0.19848595798223992,0.21080044142369456,0.06743056343402881,0.18137563299951526,0.865819573221671,0.08309697913551088,0.2650561750355049,0.061926121743043155,26487.83499809085,30980.551839408665,Kirkcaldy and Cowdenbeath,0.4609114063526644,0.5390885936473356
S14000042,97513.0,0.048742218986186456,0.05620789023002061,0.05722313947883872,0.197142945043225,0.22419574825920646,0.06893439849045768,0.18040671500210229,0.916800836811502,0.05320316265523571,0.3012448132780083,0.050772056322699134,34116.87932079683,38570.46172386512,Lanark and Hamilton East,0.4693648003967305,0.5306351996032697
S14000043,112273.0,0.048408789290390386,0.05866949311054305,0.0605577476330017,0.21438814318669672,0.20915981580611545,0.06082495346165151,0.15674293908597792,0.8860990621075414,0.07066703481691947,0.2788617398090893,0.052074203037761904,42800.39747835407,51411.70892977967,Linlithgow and East Falkirk,0.45429827556279884,0.5457017244372011
S14000044,109880.0,0.05234801601747361,0.06021113942482709,0.06228613032398981,0.22106843829632325,0.2116945759009829,0.05945576993083364,0.12812158718602112,0.8605660720786312,0.07741172187841282,0.25982926829268294,0.049914634146341466,31563.334616475848,36910.70401542107,Livingston,0.4609533079559419,0.539046692044058
