,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S00089224,191,16,2,139,0,3,6,8,17
S00089225,58,7,0,33,1,0,4,3,10
S00089226,57,4,0,38,0,1,4,2,8
S00089227,128,13,5,86,1,2,3,6,12
S00089228,95,15,0,58,0,5,1,3,13
S00089229,97,15,4,54,0,0,4,1,19
S00089230,100,7,0,80,0,0,4,2,7
S00089231,87,8,0,53,0,1,8,1,16
S00089232,93,9,1,57,1,1,8,2,14
S00089233,80,15,3,46,0,0,6,0,10
S00089234,97,14,2,64,1,0,7,1,8
S00089235,104,18,1,55,0,1,3,7,19
S00089236,81,11,0,52,0,1,2,6,9
S00089237,117,9,0,96,0,0,6,0,6
S00089238,135,15,0,115,0,0,2,0,3
S00089239,98,13,0,71,0,0,1,4,9
S00089240,179,18,2,138,1,2,4,3,11
S00089241,65,10,0,51,0,0,2,0,2
S00089242,123,9,0,99,1,0,3,0,11
S00089243,115,8,0,91,1,2,8,0,5
S00089244,117,9,0,95,1,0,0,5,7
S00089245,84,2,0,79,0,0,0,0,3
S00089246,95,6,0,80,1,3,5,0,0
S00089247,166,13,1,137,0,2,2,1,10
S00089248,205,22,1,152,1,0,4,3,22
S00089249,105,13,2,76,0,0,6,0,8
S00089250,88,5,0,66,0,0,5,0,12
S00089251,106,13,2,81,1,0,1,0,8
S00089252,118,12,2,92,1,0,1,0,10
S00089253,129,14,0,100,1,0,4,3,7
S00089254,137,7,2,107,0,1,2,1,17
S00089255,119,11,0,87,1,0,0,0,20
S00089256,109,8,0,94,0,0,1,0,6
S00089257,97,11,0,82,0,1,1,0,2
S00089258,100,13,1,67,0,1,1,0,17
S00089259,84,11,1,65,0,1,1,0,5
S00089260,136,6,0,106,1,2,11,0,10
S00089261,158,17,3,120,2,1,3,1,11
S00089262,108,13,0,68,2,3,7,1,14
S00089263,92,5,3,55,0,0,4,8,17
S00089264,139,15,0,94,3,0,2,4,21
S00089265,84,11,0,56,2,0,4,6,5
S00089266,100,10,0,66,0,2,3,5,14
S00089267,79,11,0,57,0,1,1,2,7
S00089268,113,8,1,69,1,0,5,0,29
S00089269,101,9,0,61,0,3,8,10,10
S00089270,120,8,0,92,3,0,2,6,9
S00089271,90,7,0,65,1,0,9,1,7
S00089272,69,9,1,55,0,1,0,0,3
S00089273,101,9,1,70,0,0,1,11,9
S00089274,129,11,2,97,0,2,1,3,13
S00089275,64,3,0,61,0,0,0,0,0
S00089276,59,4,1,33,1,0,1,7,12
S00089277,177,18,0,156,0,0,0,0,3
S00089278,66,3,0,63,0,0,0,0,0
S00089279,67,8,0,50,0,0,3,2,4
S00089280,59,5,0,47,0,2,5,0,0
S00089281,75,3,3,59,0,0,1,0,9
S00089282,69,8,0,52,0,0,1,0,8
S00089283,54,4,0,35,0,0,3,8,4
S00089284,105,5,0,99,0,0,0,0,1
S00089285,128,10,3,90,0,1,2,8,14
S00089286,106,5,1,70,3,1,3,5,18
S00089287,87,2,0,85,0,0,0,0,0
S00089288,151,16,1,89,0,8,1,4,32
S00089289,124,8,0,107,0,0,0,2,7
S00089290,69,2,0,61,0,2,0,0,4
S00089291,99,5,0,89,0,0,0,0,5
S00089292,90,4,0,75,0,2,2,2,5
S00089293,153,9,0,119,1,2,2,5,15
S00089294,148,13,0,91,1,3,1,0,39
S00089295,190,7,0,159,0,4,1,10,9
S00089296,161,15,1,138,0,0,3,0,4
S00089297,93,8,0,70,0,0,0,0,15
S00089298,98,7,1,75,0,7,2,3,3
S00089299,64,0,0,50,0,0,0,14,0
S00089300,99,4,0,87,0,1,0,3,4
S00089301,116,7,0,84,0,0,2,12,11
S00089302,104,7,1,88,0,0,1,0,7
S00089303,167,8,2,132,0,3,2,0,20
S00089304,159,10,0,132,0,0,0,0,17
S00089305,71,1,0,64,0,0,1,0,5
S00089306,141,7,0,118,0,4,1,3,8
S00089307,88,4,0,74,0,0,2,3,5
S00089308,77,7,0,60,0,0,2,4,4
S00089309,148,5,0,127,0,0,3,10,3
S00089310,171,10,0,122,0,5,4,20,10
S00089311,101,3,0,90,0,0,0,6,2
S00089312,164,13,1,131,2,0,2,4,11
S00089313,150,7,0,130,0,2,4,0,7
