,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S00114915,89,3,1,72,0,1,1,0,11
S00114916,100,10,0,86,0,0,0,0,4
S00114917,112,7,2,96,0,3,1,0,3
S00114918,101,7,1,89,0,0,0,0,4
S00114919,160,9,1,133,0,2,2,1,12
S00114920,166,6,0,136,0,2,1,0,21
S00114921,121,5,0,110,1,0,0,2,3
S00114922,99,6,0,91,0,0,1,0,1
S00114923,126,9,1,113,0,2,0,0,1
S00114924,141,7,1,119,2,1,0,0,11
S00114925,132,9,1,116,0,1,0,0,5
S00114926,150,6,0,140,0,1,0,0,3
S00114927,112,4,0,101,0,0,6,0,1
S00114928,118,10,1,104,0,1,0,0,2
S00114929,140,9,2,122,1,2,1,0,3
S00114930,95,5,0,76,0,6,1,0,7
S00114931,159,4,1,134,1,2,3,0,14
S00114932,86,1,0,81,0,2,1,0,1
S00114933,132,2,0,124,0,0,1,0,5
S00114934,77,3,0,74,0,0,0,0,0
S00114935,145,5,1,128,0,3,0,0,8
S00114936,84,4,1,74,0,0,0,1,4
S00114937,76,1,1,68,0,0,1,1,4
S00114938,105,5,1,92,0,2,0,0,5
S00114939,112,5,0,96,0,2,2,1,6
S00114940,80,3,3,74,0,0,0,0,0
S00114941,128,11,0,114,0,2,0,0,1
S00114942,116,4,0,108,1,1,1,0,1
S00114943,89,5,0,75,0,3,2,0,4
S00114944,138,10,0,112,0,1,1,0,14
S00114945,145,11,1,114,0,1,1,0,17
S00114946,142,5,1,124,1,0,0,1,10
S00114947,200,15,2,161,0,0,1,0,21
S00114948,100,2,0,91,1,1,0,1,4
S00114949,125,12,1,98,1,0,5,0,8
S00114950,155,5,1,141,0,1,0,0,7
S00114951,114,2,0,109,0,1,2,0,0
S00114952,135,10,1,116,0,2,0,0,6
S00114953,147,9,0,128,0,1,1,0,8
S00114954,165,13,3,139,0,1,0,0,9
S00114955,191,11,0,162,1,3,4,0,10
S00114956,141,8,0,100,0,1,1,0,31
S00114957,164,9,0,148,0,3,1,0,3
S00114958,82,5,0,68,0,0,2,2,5
S00114959,138,5,2,120,0,1,0,0,10
S00114960,108,6,0,94,0,1,3,1,3
S00114961,131,4,0,116,0,0,2,1,8
S00114962,82,2,0,73,0,1,0,0,6
S00114963,130,2,1,116,0,0,3,0,8
S00114964,81,0,2,76,0,1,1,1,0
S00114965,93,1,1,90,0,1,0,0,0
S00114966,58,1,1,51,0,0,1,1,3
S00114967,86,4,0,73,0,1,2,0,6
S00114968,101,3,0,95,0,0,3,0,0
S00114969,198,9,0,174,0,4,0,0,11
S00114970,135,4,0,128,0,2,0,0,1
S00114971,124,1,1,119,0,2,0,0,1
S00114972,120,9,2,104,0,0,2,1,2
S00114973,154,5,0,135,0,4,2,0,8
S00114974,130,3,0,123,0,2,2,0,0
S00114975,126,14,0,103,1,1,0,2,5
S00114976,94,2,0,87,1,0,0,3,1
S00114977,156,6,2,140,1,3,0,0,4
S00114978,219,18,1,173,0,4,1,2,20
S00114979,104,6,0,92,0,1,0,0,5
S00114980,116,2,0,101,0,1,0,1,11
S00114981,130,7,1,110,0,1,2,1,8
S00114982,178,12,0,148,1,3,1,1,12
S00114983,92,8,1,81,0,1,1,0,0
S00114984,111,2,2,104,0,0,0,3,0
S00114985,84,2,0,79,0,0,0,0,3
S00114986,72,1,0,68,0,1,0,2,0
S00114987,64,1,1,54,0,2,0,1,5
S00114988,53,0,0,49,0,2,1,0,1
S00114989,80,9,0,58,1,0,1,1,10
S00114990,81,4,0,73,0,0,1,0,3
S00114991,72,3,0,55,0,0,1,1,12
S00114992,64,5,3,53,0,0,0,3,0
S00114993,53,4,0,46,0,1,0,0,2
S00114994,89,3,0,83,0,0,1,1,1
S00114995,89,6,1,79,0,0,2,0,1
S00114996,89,0,1,78,0,3,0,0,7
S00114997,55,7,0,38,1,1,0,2,6
S00114998,59,5,0,51,0,0,1,0,2
S00114999,87,12,3,68,0,2,1,0,1
S00115000,85,5,1,67,0,5,1,0,6
S00115001,94,6,0,83,0,2,0,0,3
S00115002,57,2,1,50,0,0,0,0,4
S00115003,81,4,1,68,0,1,2,0,5
S00115004,52,4,1,43,0,0,0,4,0
S00115005,55,2,0,49,0,0,1,2,1
S00115006,87,4,1,79,0,2,0,0,1
S00115007,94,3,0,82,0,1,2,0,6
S00115008,113,3,0,103,0,3,1,0,3
S00115009,126,7,2,109,0,1,1,0,6
S00115010,66,3,0,58,0,0,0,0,5
S00115011,82,6,0,72,1,0,2,0,1
S00115012,108,3,1,95,0,0,1,0,8
S00115013,65,3,0,54,0,0,1,3,4
S00115014,113,2,0,107,0,1,1,0,2
S00115015,174,6,1,160,0,2,2,0,3
S00115016,145,5,0,128,0,2,2,0,8
S00115017,178,6,1,159,0,5,1,4,2
S00115018,198,5,0,183,1,2,1,0,6
S00115019,177,7,0,152,0,0,8,0,10
S00115020,123,6,0,112,0,0,1,2,2
S00115021,128,0,0,117,0,5,0,0,6
S00115022,125,5,2,107,1,4,1,0,5
S00115023,90,1,0,73,0,7,1,0,8
S00115024,94,2,0,89,0,2,0,0,1
S00115025,127,4,0,119,0,3,1,0,0
S00115026,115,4,0,101,0,3,1,0,6
S00115027,132,5,2,121,0,3,0,0,1
S00115028,117,3,2,108,0,1,0,0,3
S00115029,129,1,1,120,0,3,0,0,4
S00115030,56,2,0,46,0,3,0,1,4
S00115031,78,1,2,61,0,6,0,0,8
S00115032,123,1,1,109,0,2,0,0,10
S00115033,112,1,1,98,0,0,0,0,12
S00115034,200,5,0,183,0,4,1,0,7
S00115035,175,0,2,169,0,1,2,1,0
S00115036,122,6,0,113,0,0,0,0,3
S00115037,92,2,0,85,0,1,0,0,4
S00115038,144,8,0,129,0,0,0,0,7
S00115039,150,4,1,141,0,2,1,0,1
S00115040,98,2,1,90,0,3,0,0,2
S00115041,114,3,1,108,0,1,1,0,0
S00115042,139,5,1,119,0,3,1,0,10
S00115043,99,1,1,93,0,3,0,1,0
S00115044,96,2,1,80,0,3,1,0,9
S00115045,135,3,2,123,0,0,1,2,4
S00115046,110,4,0,94,0,1,0,1,10
S00115047,83,2,0,78,0,3,0,0,0
S00115048,152,5,1,135,0,2,1,4,4
S00115049,91,5,1,81,0,0,0,0,4
S00115050,74,4,0,62,0,1,1,0,6
S00115051,138,4,0,123,0,1,1,0,9
S00115052,101,1,0,85,0,1,1,0,13
S00115053,86,2,1,77,0,0,1,0,5
S00115054,110,6,1,96,0,0,3,0,4
S00115055,108,3,2,101,0,1,1,0,0
S00115056,121,5,0,105,0,3,1,0,7
S00115057,52,1,0,49,0,1,0,1,0
S00115058,142,6,0,130,0,1,0,1,4
S00115059,103,4,2,88,0,2,5,0,2
S00115060,105,2,1,96,1,0,2,0,3
S00115061,157,1,3,141,0,5,3,0,4
S00115062,94,4,3,80,0,0,0,0,7
S00115063,110,1,0,102,0,3,1,0,3
S00115064,117,1,1,114,0,0,0,0,1
S00115065,205,5,0,193,0,4,1,0,2
S00115066,191,12,1,162,1,4,0,0,11
S00115067,125,6,0,115,0,4,0,0,0
S00115068,157,6,2,139,0,3,1,0,6
S00115069,142,3,0,134,0,2,0,0,3
S00115070,88,5,1,77,0,4,0,1,0
S00115071,104,7,0,88,0,2,1,0,6
S00115072,140,5,0,131,0,1,1,0,2
S00115073,93,10,0,81,0,1,0,1,0
S00115074,125,6,1,102,1,1,0,6,8
S00115075,121,11,0,107,0,1,0,0,2
S00115076,104,7,2,93,0,1,0,0,1
S00115077,126,1,1,112,0,2,2,0,8
S00115078,68,2,1,59,0,0,0,0,6
S00115079,147,7,3,123,0,1,4,1,8
S00115080,149,3,2,140,0,1,0,0,3
S00115081,58,1,2,51,0,0,4,0,0
S00115082,58,8,2,36,3,0,1,0,8
S00115083,98,2,1,85,0,2,0,0,8
S00115084,109,1,1,101,0,3,0,0,3
S00115085,137,3,0,126,1,2,0,1,4
S00115086,124,5,0,112,1,3,1,0,2
S00115087,77,0,0,75,0,1,0,0,1
S00115088,110,1,0,107,0,2,0,0,0
S00115089,163,3,1,148,0,8,0,0,3
S00115090,124,4,0,120,0,0,0,0,0
S00115091,92,1,0,88,0,0,0,0,3
S00115092,79,7,0,68,0,2,0,0,2
S00115093,153,1,0,143,0,0,3,1,5
S00115094,88,0,0,86,0,2,0,0,0
S00115095,104,7,1,92,0,2,0,0,2
S00115096,152,5,1,143,0,0,1,0,2
S00115097,92,1,0,86,0,1,0,0,4
S00115098,110,1,1,103,0,3,0,0,2
S00115099,111,3,1,105,0,2,0,0,0
S00115100,109,2,0,102,0,3,0,1,1
S00115101,129,8,0,118,0,2,0,0,1
S00115102,111,5,1,92,1,1,1,0,10
S00115103,143,6,0,131,1,0,2,0,3
S00115104,99,0,0,89,0,0,0,1,9
S00115105,95,6,1,81,1,0,4,0,2
S00115106,103,3,0,94,0,1,0,0,5
S00115107,133,7,1,116,0,2,1,0,6
S00115108,75,3,0,71,0,1,0,0,0
S00115109,117,5,1,102,0,5,0,0,4
S00115110,174,5,0,165,0,3,0,0,1
S00115111,103,1,2,94,0,3,0,0,3
S00115112,119,2,0,111,0,1,1,4,0
S00115113,111,3,0,102,0,3,1,1,1
S00115114,101,2,0,95,0,0,0,2,2
S00115115,116,3,0,106,0,1,2,3,1
S00115116,80,0,0,78,0,0,1,1,0
S00115117,141,5,1,123,0,1,2,0,9
S00115118,92,1,0,88,0,1,0,1,1
S00115119,153,6,1,134,0,4,1,0,7
S00115120,91,2,2,85,0,0,2,0,0
S00115121,155,5,0,140,0,1,0,7,2
S00115122,120,4,0,114,0,1,0,1,0
S00115123,98,3,1,91,0,1,0,0,2
S00115124,152,6,0,138,0,1,0,1,6
S00115125,100,3,0,93,0,0,0,0,4
S00115126,153,5,0,145,0,1,0,0,2
S00115127,174,5,0,147,2,4,2,5,9
S00115128,145,8,0,133,0,3,0,0,1
S00115129,159,4,0,144,0,1,0,5,5
S00115130,144,4,0,131,1,0,0,2,6
S00115131,117,5,0,103,0,0,0,1,8
S00115132,98,5,0,87,0,0,0,3,3
S00115133,134,5,0,126,0,0,3,0,0
S00115134,131,3,0,118,0,3,0,7,0
S00115135,111,3,1,105,0,0,0,0,2
S00115136,137,5,0,125,0,0,0,0,7
S00115137,71,1,0,65,0,1,0,4,0
S00115138,85,0,0,85,0,0,0,0,0
S00115139,107,3,0,97,0,0,1,3,3
S00115140,150,3,0,133,1,0,0,4,9
S00115141,179,7,3,160,0,1,0,0,8
S00115142,168,4,2,147,0,0,4,4,7
S00115143,74,1,0,66,0,0,1,4,2
S00115144,101,1,0,96,1,1,0,1,1
S00115145,152,4,1,140,1,1,0,2,3
S00115146,142,4,0,133,0,0,0,2,3
S00115147,106,0,0,103,0,1,0,0,2
S00115148,195,7,0,179,0,4,0,0,5
S00115149,117,3,0,112,1,0,0,0,1
S00115150,139,5,0,129,0,0,0,2,3
S00115151,121,1,0,116,0,0,1,1,2
S00115152,78,2,0,76,0,0,0,0,0
S00115153,94,3,2,82,0,1,0,1,5
S00115154,102,4,0,97,0,1,0,0,0
S00115155,104,3,0,101,0,0,0,0,0
S00115156,173,2,0,169,0,0,0,0,2
S00115157,138,1,0,137,0,0,0,0,0
S00115158,90,0,0,89,0,1,0,0,0
S00115159,60,0,0,58,0,1,0,0,1
S00115160,92,6,0,85,0,0,1,0,0
S00115161,144,1,0,141,0,1,0,0,1
S00115162,82,1,1,78,0,0,0,0,2
S00115163,79,2,0,75,1,0,1,0,0
S00115164,84,1,1,82,0,0,0,0,0
S00115165,233,1,2,222,0,2,3,0,3
S00115166,98,1,0,90,0,2,1,0,4
S00115167,153,3,0,147,0,0,1,0,2
S00115168,118,2,0,110,0,2,0,4,0
S00115169,133,2,1,119,0,2,0,0,9
S00115170,112,2,0,107,0,1,1,0,1
S00115171,118,2,0,112,0,0,0,1,3
S00115172,61,1,0,59,0,0,0,0,1
S00115173,59,0,0,57,0,0,1,0,1
S00115174,72,2,1,69,0,0,0,0,0
S00115175,92,0,0,92,0,0,0,0,0
S00115176,110,1,0,106,0,1,0,0,2
S00115177,86,3,0,80,0,0,0,1,2
S00115178,169,3,0,158,0,5,0,0,3
S00115179,63,2,0,59,0,2,0,0,0
S00115180,87,2,0,84,0,0,0,0,1
S00115181,92,0,0,91,0,0,1,0,0
S00115182,90,1,0,83,0,1,1,0,4
S00115183,72,0,0,70,0,2,0,0,0
S00115184,119,1,2,112,0,0,0,0,4
S00115185,116,0,0,114,0,0,0,0,2
S00115186,205,4,1,197,0,0,0,0,3
S00115187,97,3,0,94,0,0,0,0,0
S00115188,100,1,0,98,0,1,0,0,0
S00115189,122,2,0,118,0,1,0,0,1
S00115190,140,7,0,102,0,0,1,15,15
S00115191,77,0,0,60,0,0,1,6,10
S00115192,125,3,0,102,0,2,4,4,10
S00115193,129,5,1,112,0,1,0,2,8
S00115194,162,4,0,153,1,0,0,2,2
S00115195,116,0,0,106,0,0,0,3,7
S00115196,103,5,0,88,0,0,0,5,5
S00115197,95,4,0,90,0,0,1,0,0
S00115198,110,4,0,97,0,4,1,4,0
S00115199,157,3,0,148,0,0,0,0,6
S00115200,192,8,0,161,0,0,0,2,21
S00115201,138,7,0,129,0,0,0,0,2
S00115202,109,1,0,105,0,0,0,1,2
S00115203,82,0,2,73,0,1,0,5,1
S00115204,138,1,0,137,0,0,0,0,0
S00115205,87,5,0,81,0,1,0,0,0
S00115206,139,1,0,134,0,0,0,0,4
S00115207,79,0,1,76,0,0,0,0,2
S00115208,54,1,0,52,0,0,0,0,1
S00115209,135,2,2,123,0,0,1,0,7
S00115210,150,0,1,145,0,0,2,1,1
S00115211,115,6,1,106,0,2,0,0,0
S00115212,80,0,0,79,0,0,0,1,0
S00115213,95,0,0,91,1,1,0,2,0
S00115214,142,7,0,131,0,0,0,0,4
S00115215,118,6,0,104,0,0,1,0,7
S00115216,149,2,1,134,2,1,1,0,8
S00115217,162,3,1,144,0,0,0,6,8
S00115218,132,0,0,118,0,3,0,3,8
S00115219,92,3,0,83,0,3,0,0,3
S00115220,123,4,0,71,0,0,0,35,13
S00115221,94,1,0,51,0,0,1,34,7
S00115222,137,1,1,124,0,3,0,5,3
S00115223,115,0,0,96,0,0,0,2,17
S00115224,82,2,0,66,0,0,0,8,6
S00115225,72,2,0,62,0,0,0,7,1
S00115226,106,6,2,75,0,0,0,17,6
S00115227,114,2,0,82,0,0,0,18,12
S00115228,83,3,0,73,0,0,0,7,0
S00115229,171,4,0,121,1,0,0,28,17
S00115230,78,3,0,49,0,0,0,22,4
S00115231,54,1,1,38,0,0,0,11,3
S00115232,53,1,0,40,0,1,0,9,2
S00115233,117,2,0,84,0,1,0,20,10
S00115234,102,6,0,71,0,0,1,13,11
S00115235,85,4,0,60,0,0,1,13,7
S00115236,158,2,0,100,0,0,2,35,19
S00115237,85,5,0,47,0,0,0,21,12
S00115238,104,3,0,69,0,0,0,32,0
S00115239,94,4,0,86,0,0,0,4,0
S00115240,86,0,0,70,0,0,1,7,8
S00115241,111,2,0,108,0,0,0,0,1
S00115242,108,2,0,97,0,0,0,5,4
S00115243,90,1,0,89,0,0,0,0,0
S00115244,101,3,2,94,0,2,0,0,0
S00115245,151,2,0,147,1,1,0,0,0
S00115246,102,0,0,101,0,0,0,0,1
S00115247,95,0,0,94,0,0,0,1,0
S00115248,79,1,0,77,0,0,0,1,0
S00115249,107,8,0,95,0,0,0,2,2
S00115250,67,3,0,60,0,1,1,0,2
S00115251,97,3,0,88,0,1,0,3,2
S00115252,86,5,0,77,0,1,0,2,1
S00115253,89,1,0,84,0,0,0,2,2
S00115254,89,2,1,80,0,0,1,1,4
S00115255,77,0,1,73,0,1,0,0,2
S00115256,108,1,0,97,1,0,1,0,8
S00115257,114,1,0,99,0,0,0,0,14
S00115258,91,0,0,88,0,1,2,0,0
S00115259,118,1,0,108,0,2,0,1,6
S00115260,117,8,0,96,0,4,0,0,9
S00115261,77,5,0,35,0,1,0,12,24
S00115262,78,6,0,56,0,0,2,4,10
S00115263,60,4,0,54,0,0,0,0,2
S00115264,86,2,2,77,0,1,1,2,1
S00115265,113,6,0,75,0,0,1,10,21
S00115266,94,7,0,69,0,2,1,1,14
S00115267,100,8,1,79,0,0,0,2,10
S00115268,130,4,5,77,0,0,1,0,43
S00115269,80,8,1,56,0,2,4,3,6
S00115270,110,8,0,61,0,0,1,3,37
S00115271,68,3,0,43,0,0,1,0,21
S00115272,72,5,1,51,0,0,1,0,14
S00115273,78,6,0,38,0,0,3,6,25
S00115274,94,5,0,68,0,0,0,2,19
S00115275,166,9,2,112,2,0,0,15,26
S00115276,57,5,1,40,0,1,2,0,8
S00115277,142,12,0,72,0,1,0,2,55
S00115278,165,12,0,86,0,3,0,4,60
S00115279,81,2,0,55,0,1,1,7,15
S00115280,88,1,1,66,0,0,4,6,10
S00115281,168,8,1,126,0,1,0,0,32
S00115282,151,1,1,137,0,4,0,4,4
S00115283,87,0,0,74,0,2,1,2,8
S00115284,90,0,1,86,0,2,0,0,1
S00115285,144,6,0,78,0,1,4,0,55
S00115286,121,5,0,98,0,0,1,1,16
S00115287,100,7,1,65,0,1,1,6,19
S00115288,77,5,0,35,0,1,2,9,25
S00115289,117,3,2,70,1,3,1,11,26
S00115290,109,6,0,81,0,0,1,2,19
S00115291,81,4,1,44,0,0,0,2,30
S00115292,99,7,1,56,0,2,0,14,19
S00115293,140,9,0,101,0,3,1,2,24
S00115294,58,1,0,34,0,0,0,8,15
S00115295,121,8,0,89,1,0,4,5,14
S00115296,122,4,3,71,0,0,0,4,40
S00115297,62,2,1,24,0,0,3,11,21
S00115298,129,11,1,86,0,1,5,4,21
S00115299,104,2,0,67,0,2,1,3,29
S00115300,72,1,0,64,0,0,1,1,5
S00115301,129,10,3,94,0,0,2,1,19
S00115302,122,3,0,104,0,0,9,6,0
S00115303,100,12,3,79,0,0,0,3,3
S00115304,80,6,2,59,0,0,0,2,11
S00115305,93,3,0,67,1,0,0,8,14
S00115306,90,3,0,70,0,0,0,0,17
S00115307,77,4,0,56,0,0,0,2,15
S00115308,159,5,5,133,0,1,0,2,13
S00115309,107,7,0,80,0,2,2,3,13
S00115310,68,3,2,50,0,0,2,4,7
S00115311,69,1,0,48,0,0,0,2,18
S00115312,134,1,2,114,0,1,0,0,16
S00115313,121,3,0,90,0,2,2,2,22
S00115314,84,5,0,59,0,1,1,16,2
S00115315,136,14,1,103,0,0,0,0,18
S00115316,77,1,0,68,0,0,1,2,5
S00115317,55,1,0,40,0,0,0,4,10
S00115318,71,0,0,68,0,0,0,1,2
S00115319,115,2,0,108,0,1,1,0,3
S00115320,92,3,1,79,0,1,0,0,8
S00115321,103,4,0,78,0,4,3,3,11
S00115322,68,1,3,54,0,2,1,0,7
S00115323,148,4,2,130,0,2,0,4,6
S00115324,114,1,0,105,0,2,0,3,3
S00115325,87,4,0,68,0,0,1,3,11
S00115326,114,5,2,81,0,6,3,8,9
S00115327,145,3,1,122,0,0,1,1,17
S00115328,107,4,0,93,0,1,0,1,8
S00115329,68,1,0,64,0,2,0,0,1
S00115330,57,1,1,49,0,0,1,0,5
S00115331,88,0,1,85,0,0,0,2,0
S00115332,79,2,0,71,0,1,2,1,2
S00115333,91,3,0,84,0,1,1,1,1
S00115334,165,7,1,137,0,2,2,2,14
S00115335,107,2,0,64,0,0,0,13,28
S00115336,99,5,1,90,3,0,0,0,0
S00115337,111,1,0,106,0,0,1,1,2
S00115338,108,4,1,76,1,2,0,0,24
S00115339,85,3,0,78,0,1,1,0,2
S00115340,95,3,0,68,1,0,1,6,16
S00115341,174,2,1,138,1,3,0,18,11
S00115342,90,9,0,42,0,0,1,20,18
S00115343,120,3,4,86,0,1,1,16,9
S00115344,145,2,2,139,0,0,0,0,2
S00115345,118,4,0,75,1,1,0,14,23
S00115346,84,3,0,75,0,0,1,2,3
S00115347,119,2,0,99,1,0,1,2,14
S00115348,87,7,0,73,1,0,0,1,5
S00115349,141,5,0,63,0,0,1,45,27
S00115350,90,2,0,54,0,1,0,13,20
S00115351,121,5,0,91,0,0,1,15,9
S00115352,115,2,0,60,0,0,2,30,21
S00115353,105,2,0,96,0,0,1,5,1
S00115354,148,6,1,128,0,0,0,8,5
S00115355,85,6,0,46,0,0,0,25,8
S00115356,54,3,0,37,0,3,0,5,6
S00115357,63,1,0,56,0,0,1,0,5
S00115358,76,7,0,64,0,0,0,1,4
S00115359,55,2,0,49,0,0,2,2,0
S00115360,99,3,0,76,0,0,0,9,11
S00115361,76,0,0,51,0,2,0,14,9
S00115362,128,13,0,73,0,0,0,28,14
S00115363,107,4,0,65,0,2,1,16,19
S00115364,126,8,2,69,0,1,1,25,20
S00115365,113,0,0,112,0,0,0,0,1
S00115366,147,0,0,141,1,2,0,0,3
S00115367,99,2,0,96,0,1,0,0,0
S00115368,102,4,0,97,0,0,0,0,1
S00115369,97,1,1,78,0,1,0,3,13
S00115370,144,7,2,116,0,0,3,4,12
S00115371,164,6,0,155,0,0,0,0,3
S00115372,104,4,2,88,0,0,1,1,8
S00115373,82,3,0,77,0,0,0,0,2
S00115374,136,0,0,126,0,0,0,3,7
S00115375,135,4,2,126,0,0,0,0,3
S00115376,96,3,0,80,0,0,1,0,12
S00115377,123,2,1,115,0,1,1,0,3
S00115378,86,1,1,80,0,0,0,0,4
S00115379,136,2,0,123,0,1,0,0,10
S00115380,111,5,0,92,0,0,0,1,13
S00115381,84,1,1,81,0,0,0,0,1
S00115382,95,1,1,93,0,0,0,0,0
S00115383,132,3,0,123,0,4,0,0,2
S00115384,86,2,0,83,0,0,0,0,1
S00115385,146,5,1,139,0,1,0,0,0
S00115386,126,4,2,120,0,0,0,0,0
S00115387,107,2,0,104,0,0,0,0,1
S00115388,113,2,0,111,0,0,0,0,0
S00115389,72,0,0,72,0,0,0,0,0
S00115390,116,0,0,115,0,0,0,0,1
S00115391,76,4,0,70,0,0,0,1,1
S00115392,75,2,0,68,0,0,1,1,3
S00115393,118,3,0,111,0,0,1,0,3
S00115394,106,2,0,101,1,0,0,0,2
S00115395,220,5,0,205,0,0,0,2,8
S00115396,152,10,0,140,0,0,0,0,2
S00115397,135,2,1,121,0,3,1,2,5
S00115398,88,7,2,73,1,0,2,2,1
S00115399,90,1,0,84,0,1,0,1,3
S00115400,109,5,1,99,0,0,1,2,1
S00115401,95,2,0,87,0,0,2,0,4
S00115402,86,2,0,78,0,1,0,1,4
S00115403,91,5,0,84,0,1,0,0,1
S00115404,58,2,0,46,0,1,1,4,4
S00115405,64,2,0,57,0,0,1,0,4
S00115406,78,0,0,63,0,1,0,8,6
S00115407,88,1,0,67,0,0,0,7,13
S00115408,121,4,0,93,0,0,2,0,22
S00115409,69,5,0,62,0,0,0,0,2
S00115410,51,0,1,45,0,0,0,2,3
S00115411,104,7,0,80,0,2,1,4,10
S00115412,53,2,0,50,0,0,0,0,1
S00115413,56,1,0,49,0,0,1,5,0
S00115414,67,0,0,63,0,1,0,0,3
S00115415,125,6,1,111,0,0,0,4,3
S00115416,66,0,0,63,0,0,0,0,3
S00115417,62,4,0,52,0,0,1,0,5
S00115418,63,3,0,59,0,0,1,0,0
S00115419,76,0,1,71,0,0,1,3,0
S00115420,84,1,0,82,0,0,1,0,0
S00115421,91,1,0,88,0,0,2,0,0
S00115422,71,2,0,67,0,0,0,0,2
S00115423,262,6,2,227,1,1,0,5,20
S00115424,143,0,0,136,0,1,1,4,1
S00115425,106,12,1,82,1,1,0,0,9
S00115426,135,2,0,119,1,0,1,2,10
S00115427,95,2,0,88,0,2,1,0,2
S00115428,86,2,1,81,0,0,0,0,2
S00115429,125,6,0,116,0,1,0,0,2
S00115430,119,3,0,112,0,0,0,0,4
S00115431,120,2,4,112,0,0,1,0,1
S00115432,94,6,0,82,0,0,1,0,5
S00115433,181,4,0,165,0,3,0,0,9
S00115434,182,17,0,154,1,1,2,1,6
S00115435,135,5,0,121,0,0,3,0,6
S00115436,93,6,1,80,2,0,0,0,4
S00115437,145,5,1,134,0,1,1,0,3
S00115438,109,2,0,98,1,3,0,0,5
S00115439,110,1,0,99,0,2,0,0,8
S00115440,147,5,1,127,0,1,3,0,10
S00115441,154,5,0,146,0,2,1,0,0
S00115442,92,5,2,82,0,0,0,0,3
S00115443,172,11,1,155,0,1,1,0,3
S00115444,89,5,0,80,0,1,0,0,3
S00115445,103,2,0,92,0,3,0,0,6
S00115446,111,4,0,104,0,2,0,0,1
S00115447,111,2,0,104,0,2,0,1,2
S00115448,99,2,0,96,0,1,0,0,0
S00115449,82,2,0,78,0,0,2,0,0
S00115450,140,4,0,126,0,2,1,0,7
S00115451,103,2,0,99,0,0,0,0,2
S00115452,122,3,0,114,0,2,0,0,3
S00115453,101,2,0,95,0,1,0,0,3
S00115454,139,4,0,123,0,2,1,0,9
S00115455,94,2,0,91,0,0,0,0,1
S00115456,107,2,0,89,0,0,2,0,14
S00115457,105,2,1,90,0,0,4,0,8
S00115458,88,2,1,79,0,1,0,2,3
S00115459,73,3,0,62,0,2,0,0,6
S00115460,126,6,1,111,0,2,1,0,5
S00115461,98,0,1,89,0,2,0,4,2
S00115462,120,3,0,110,0,0,1,0,6
S00115463,93,1,0,89,0,0,1,0,2
S00115464,108,2,1,97,0,0,1,2,5
S00115465,67,1,0,64,0,0,0,2,0
S00115466,84,1,0,74,0,0,0,0,9
S00115467,82,2,0,77,0,1,0,2,0
S00115468,53,2,0,49,0,0,1,0,1
S00115469,87,3,0,84,0,0,0,0,0
S00115470,82,2,0,80,0,0,0,0,0
S00115471,112,0,1,108,0,1,0,0,2
S00115472,117,4,0,108,2,2,0,0,1
S00115473,96,1,1,86,0,2,1,2,3
S00115474,128,1,1,123,0,0,1,0,2
S00115475,100,0,0,96,0,1,0,0,3
S00115476,103,3,0,96,0,0,0,0,4
S00115477,73,2,0,70,0,0,0,0,1
S00115478,91,2,1,81,0,2,1,0,4
S00115479,113,3,0,105,0,0,0,0,5
S00115480,134,6,2,126,0,0,0,0,0
S00115481,71,3,3,59,0,0,0,4,2
S00115482,84,1,0,79,1,0,0,0,3
S00115483,95,4,0,88,0,0,0,0,3
S00115484,91,3,1,78,0,1,0,0,8
S00115485,88,1,0,82,0,0,1,1,3
S00115486,220,5,0,201,1,1,1,0,11
S00115487,194,6,0,175,0,0,0,1,12
S00115488,188,2,0,169,1,2,1,5,8
S00115489,198,4,0,187,0,0,1,5,1
S00115490,84,4,0,76,1,1,0,2,0
S00115491,116,1,0,109,0,0,0,4,2
S00115492,112,0,0,110,0,1,0,0,1
S00115493,82,0,0,77,0,0,0,0,5
S00115494,59,0,1,58,0,0,0,0,0
S00115495,70,1,0,60,0,1,0,0,8
S00115496,82,6,0,76,0,0,0,0,0
S00115497,102,2,1,91,0,0,0,0,8
S00115498,181,6,1,165,1,3,1,0,4
S00115499,105,2,0,100,0,1,0,0,2
S00115500,141,2,0,122,1,0,1,4,11
S00115501,108,4,1,96,0,0,1,1,5
S00115502,143,2,0,131,0,0,0,0,10
S00115503,126,7,0,110,0,0,0,0,9
S00115504,94,0,1,85,0,0,0,3,5
S00115505,115,2,0,110,0,0,0,0,3
S00115506,68,1,0,60,0,0,0,0,7
S00115507,108,2,0,91,0,0,2,1,12
S00115508,108,7,6,88,0,0,2,0,5
S00115509,123,3,0,107,2,0,1,1,9
S00115510,78,0,1,75,0,0,1,0,1
S00115511,104,3,0,84,2,0,1,0,14
S00115512,95,2,3,88,0,0,1,0,1
S00115513,77,1,0,58,0,1,1,4,12
S00115514,64,2,1,60,0,0,0,1,0
S00115515,87,3,0,80,0,0,1,0,3
S00115516,124,4,0,117,1,0,0,0,2
S00115517,109,3,0,104,0,0,0,0,2
S00115518,121,1,0,113,0,0,0,0,7
S00115519,87,2,1,78,0,5,0,0,1
